nll_all,nll_ramp,nll_mid,nll_seasoned,low_wala_mean_z,low_wala_max_abs_z,heldout_rows,seed,internal_runtime_seconds,faces,active_vertices,gate_admitted_vertices,heldout_deviance_per_pool,x2_per_information,train_rows,train_exposure,train_rate,held_exposure,held_rate
2.754333749081692,3.0208402928319105,3.04873838625433,2.368624644831351,1.0355588876745276,272.3142595139882,60248,101,22.0,234,141,25,8.263,0.2128,60347,23922656.0,0.785807,23643746.0,0.780645
2.7176205069149963,2.685989324986439,3.0488045167719817,2.383946706206611,-0.3685502941220993,26.353468335198265,60226,102,25.0,1212,652,243,6.46,0.1527,60369,23898937.0,0.781907,23667465.0,0.784589
2.7154279735517366,2.663295218843668,3.052026414532447,2.382616645995626,0.8614430262852939,56.724054907772185,60224,103,6.5,882,482,177,6.765,0.151,60371,23415932.0,0.772806,24150470.0,0.793359
2.71721797615328,2.6967445225381885,3.04696927313793,2.383035436045648,-0.5919315290703112,15.684862157708876,60302,104,5.9,1067,578,215,6.554,0.1536,60293,23988464.0,0.790403,23577938.0,0.775955
2.7173807115564013,2.66970537104307,3.0501547692400943,2.390163154132926,0.7130374150997967,67.46920512585743,60286,105,7.3,1175,634,231,6.767,0.1638,60309,24643310.0,0.786741,22923092.0,0.779479
2.710484835771433,2.670992551170674,3.0443379200668983,2.371924498046323,0.7607533159619725,60.68679362841512,60334,106,12.2,1211,651,253,6.373,0.1459,60261,23976234.0,0.785863,23590168.0,0.780577
2.732762642360236,2.8480318380466545,3.0440446617633072,2.373778687045751,1.523107440515429,272.04748090359374,60358,107,20.3,315,186,48,7.416,0.1949,60237,23443833.0,0.776588,24122569.0,0.789707
2.7192916323658145,2.70547336347202,3.049224289552913,2.381216421263362,-0.0460272988406918,42.90724641736013,60294,108,25.8,1134,612,213,6.697,0.15,60301,23376165.0,0.78161,24190237.0,0.784818
2.7175188345292995,2.719163733231143,3.0488826260499597,2.3747531388184853,-0.3341854770195823,114.56406210560024,60252,109,24.9,905,490,154,6.236,0.1504,60343,23610395.0,0.786954,23956007.0,0.779582
2.71933422880612,2.680407056933685,3.0515137571621818,2.381724725668158,-0.9141201959844784,48.45188086766732,60249,110,14.8,818,450,180,6.785,0.1559,60346,23813021.0,0.777803,23753381.0,0.788693
2.715409554794198,2.6790111503187712,3.046052187188637,2.378289268924968,1.3588013205023728,93.88521826738447,60273,111,6.7,824,453,184,6.344,0.1437,60322,23578304.0,0.785903,23988098.0,0.780625
2.7178114208090074,2.707085707500402,3.0477084986879803,2.378942314561556,-0.9193564580756846,24.96035404444005,60313,112,7.9,1199,643,234,6.767,0.1562,60282,23793141.0,0.784732,23773261.0,0.781749
2.7172171771086613,2.676109422435484,3.0541457256466003,2.379195966262907,0.9701186544871484,63.54743676082747,60257,113,18.7,1507,797,312,6.347,0.1537,60338,24439940.0,0.782049,23126462.0,0.784502
2.7158916763896777,2.682429160770769,3.0463043396931133,2.385446730688942,2.5249483323147253,100.97186523270524,60310,114,7.7,1097,589,201,6.868,0.1606,60285,24049558.0,0.777532,23516844.0,0.78908
2.718395327236611,2.6792879550096385,3.0550552024114763,2.376916560743327,-1.158456689452708,48.15170226929093,60298,115,30.5,1222,654,240,7.091,0.1531,60297,23317089.0,0.790533,24249313.0,0.77623
2.716447260138559,2.6588340318694934,3.046711313647527,2.3805720844619143,-0.9932531277864318,22.52795238399343,60259,116,29.5,1170,628,236,6.748,0.1471,60336,23421221.0,0.78568,24145181.0,0.780876
2.71663741102968,2.67602106748232,3.0492529045566528,2.3827603983569547,-0.605654629311993,19.7714612146541,60247,117,9.9,812,447,164,6.744,0.1473,60348,22781689.0,0.788514,24784713.0,0.778395
2.71700055961802,2.7338116516189515,3.0441287293786323,2.3713509809771587,-1.6386569702141491,52.32691710862572,60302,118,22.5,653,363,122,6.698,0.1492,60293,23329110.0,0.785622,24237292.0,0.78095
2.712879407569323,2.6758135930295617,3.049126476983909,2.370111399963169,0.2110376037011677,21.23689808782525,60298,119,15.0,1117,602,221,6.973,0.1502,60297,22903460.0,0.781749,24662942.0,0.784627
2.713179303383701,2.681632748418435,3.0458990641424277,2.377252875220216,0.7949622255331337,58.37160196201059,60275,120,23.4,975,529,199,6.301,0.1431,60320,23540127.0,0.793049,24026275.0,0.773632
