,mean,sd,min,median,max
nll_all,2.7191121094584227,0.009313090666309958,2.710484835771433,2.7172175766309707,2.754333749081692
nll_ramp,2.7105339880775636,0.08362241550131691,2.6588340318694934,2.68101990267606,3.0208402928319105
nll_mid,3.04845405284345,0.0030853362356576958,3.0440446617633072,3.048771451513156,3.0550552024114763
nll_seasoned,2.378631131910768,0.005594649436540772,2.368624644831351,2.3790691404122315,2.390163154132926
low_wala_mean_z,0.15917877760987192,1.0813125697640578,-1.6386569702141491,0.08250515243023795,2.5249483323147253
low_wala_max_abs_z,74.14773606474594,73.05305285628819,15.684862157708876,54.52548600819895,272.3142595139882
heldout_rows,60280.25,35.38491352629193,60224.0,60280.5,60358.0
internal_runtime_seconds,16.824999999999996,8.388455412680354,5.9,16.85,30.5
faces,976.45,310.244636070515,234.0,1082.0,1507.0
active_vertices,529.05,160.21744270636836,141.0,583.5,797.0
gate_admitted_vertices,192.6,67.4212210852902,25.0,207.0,312.0
heldout_deviance_per_pool,6.75985,0.45745212864298707,6.236,6.746,8.263
x2_per_information,0.15675999999999998,0.017148190022641792,0.1431,0.15184999999999998,0.2128
train_rows,60314.75,35.38491352629193,60237.0,60314.5,60371.0
train_exposure,23662129.3,455390.0533356687,22781689.0,23594349.5,24643310.0
train_rate,0.7840922499999998,0.00511860378655003,0.772806,0.7856510000000001,0.793049
held_exposure,23904272.7,455390.0533356687,22923092.0,23972052.5,24784713.0
held_rate,0.7824035,0.005032177027050924,0.773632,0.780913,0.793359
