event,stage,round,sweep,phase,kind,id,x,y,depth,gate,old_h,proposal_h,post_h,mu_lin,mu_prior,raw_beta,xTx,xTr,n_points,fit_points,lambda,sigma_sq,loss,parent0,parent1,p0h,p1h,clamped
1,0,2,-1,gate_activate,pre_activate,333,0.015625,0.21875,6,0,-29.074350174708322,-194.16401330081101,-368.05244392353154,-368.05244392353154,-368.05244392353154,32.286624105237884,0.0021310515574729533,0.068804460585010996,239,118,2.6475706820106591e-05,469.25190359346419,0,313,291,-758.80236054852571,22.69747270146264,0
2,0,2,-1,gate_activate,post_activate,333,0.015625,0.21875,6,1,-29.074350174708322,-194.16401330081101,-194.16401330081101,-368.05244392353154,-368.05244392353154,32.286624105237884,0.0021310515574729533,0.068804460585010996,239,118,2.6475706820106594e-05,1897.0397326128611,0,313,291,-758.80236054852571,22.69747270146264,0
3,0,3,-1,gate_activate,pre_activate,373,0.0234375,0.21875,7,0,-172.67748561103446,-131.29883935665828,-98.065675869921051,-98.065675869921051,-98.065675869921051,-188.84018421853224,0.00015678683123350373,-0.029607654093174771,27,16,0,31791.618960188469,0,333,291,-203.35840678712577,7.2270550472836828,0
4,0,3,-1,gate_activate,post_activate,373,0.0234375,0.21875,7,1,-172.67748561103446,-131.29883935665828,-131.29883935665828,-98.065675869921051,-98.065675869921051,-188.84018421853224,0.00015678683123350373,-0.029607654093174771,27,16,0.00029306686660940059,9114.7473084248722,0,333,291,-203.35840678712577,7.2270550472836828,0
5,0,3,-1,gate_promote,pre_promote,318,0.015625,0.234375,6,0,2.2696867305576935,-22.307278351878747,2.2696867305576935,2.2696867305576935,2.2696867305576935,17.640556660515774,0.11982463113856108,2.1137731949251894,1502,750,0,8.3455295501275888,0,291,15,7.2270550472836828,-2.6876815861682952,0
6,0,3,-1,gate_promote,post_promote,318,0.015625,0.234375,6,1,2.2696867305576935,-22.307278351878747,-22.307278351878747,2.2696867305576935,2.2696867305576935,17.864669565172047,0.11982463113856108,2.1406274410590189,1502,750,0.00029306686660940059,11.540837712218629,0,291,15,7.2270550472836828,-2.6876815861682952,0
7,0,3,-1,gate_promote,pre_promote,356,0.015625,0.25,6,0,13.999920560049873,23.533480559249412,13.999920560049873,13.999920560049873,13.999920560049873,74.562948297923356,0.08733586473216462,6.5120195665788181,1099,559,0,11.450049794167933,0,15,319,-2.6876815861682952,30.687522706268041,0
8,0,3,-1,gate_promote,post_promote,356,0.015625,0.25,6,1,13.999920560049873,23.533480559249412,23.533480559249412,13.999920560049873,13.999920560049873,74.562948297923356,0.08733586473216462,6.5120195665788181,1099,559,0.00029306686660940059,16.142094742719628,0,15,319,-2.6876815861682952,30.687522706268041,0
9,0,4,-1,gate_activate,pre_activate,474,0.01171875,0.23828125,8,0,1.0303446513761965,-499.56487967549316,-281.31185692981103,-281.31185692981103,-281.31185692981103,-123.77088302368347,0.012227104137249268,-1.5133594758898754,220,115,0,480.66328429254338,0,318,348,-54.217526737313534,-508.40618712230849,0
10,0,4,-1,gate_activate,post_activate,474,0.01171875,0.23828125,8,1,1.0303446513761965,-499.56487967549316,-499.56487967549316,-281.31185692981103,-281.31185692981103,-123.77088302368347,0.012227104137249268,-1.5133594758898754,220,115,2.2518744107875113e-05,723.21809243494658,0,318,348,-54.217526737313534,-508.40618712230849,0
11,0,4,-1,gate_activate,pre_activate,481,0.01171875,0.24609375,8,0,6.895461566122286,-156.11146588964598,-237.89119709775829,-237.89119709775829,-237.89119709775829,-52.619111791889637,0.014596964487284687,-0.76807930617867592,186,93,0,1.0000000000000001e+300,0,348,356,-508.40618712230849,32.623792926791893,0
12,0,4,-1,gate_activate,post_activate,481,0.01171875,0.24609375,8,1,6.895461566122286,-156.11146588964598,-156.11146588964598,-237.89119709775829,-237.89119709775829,-52.619111791889637,0.014596964487284687,-0.76807930617867592,186,93,2.2518744107875113e-05,161.066642527467,0,348,356,-508.40618712230849,32.623792926791893,0
13,0,4,-1,gate_activate,pre_activate,543,0.01953125,0.22265625,8,0,-99.305017949102549,-86.162977547820688,-53.360224591219996,-53.360224591219996,-53.360224591219996,-113.64560114006458,0.00011212976547294944,-0.012743054602867798,27,13,0,14456.559133733035,0,346,333,-3.4736514280578206,-103.24679775438217,0
14,0,4,-1,gate_activate,post_activate,543,0.01953125,0.22265625,8,1,-99.305017949102549,-86.162977547820688,-86.162977547820688,-53.360224591219996,-53.360224591219996,-113.64560114006458,0.00011212976547294944,-0.012743054602867798,27,13,2.2518744107875113e-05,10513.120456951638,0,346,333,-3.4736514280578206,-103.24679775438217,0
15,0,5,-1,gate_activate,pre_activate,586,0.009765625,0.240234375,9,0,-394.85902202605973,-200.21728696703028,-502.59579251784862,-502.59579251784862,-502.59579251784862,839.18976110113738,0.00032936491315829308,0.27639966278840483,43,24,0,6774.5422166654389,0,474,348,-492.98065866070971,-512.21092637498759,0
16,0,5,-1,gate_activate,post_activate,586,0.009765625,0.240234375,9,1,-394.85902202605973,-200.21728696703028,-200.21728696703028,-502.59579251784862,-502.59579251784862,839.18976110113738,0.00032936491315829308,0.27639966278840483,43,24,4.4224620602454906e-05,84858.157001988162,0,474,348,-492.98065866070971,-512.21092637498759,0
17,0,5,-1,gate_activate,pre_activate,607,0.009765625,0.244140625,9,0,-373.14869211003338,-356.90300588708902,-328.13962513339527,-328.13962513339527,-328.13962513339527,356.38205662026166,0.00075202220880098624,0.26800722139660732,62,31,0,1.0000000000000001e+300,0,348,481,-512.21092637498759,-144.06832389180292,0
18,0,5,-1,gate_activate,post_activate,607,0.009765625,0.244140625,9,1,-373.14869211003338,-356.90300588708902,-356.90300588708902,-328.13962513339527,-328.13962513339527,356.38205662026166,0.00075202220880098624,0.26800722139660732,62,31,4.4224620602454906e-05,49494.834520329394,0,348,481,-512.21092637498759,-144.06832389180292,0
19,0,5,-1,gate_promote,pre_promote,594,0.01171875,0.2421875,8,0,-264.23014783588292,-313.98434543422968,-264.23014783588292,-264.23014783588292,-264.23014783588292,51.312296218536076,0.002067624968926257,0.10609458487438556,87,46,4.4224620602454906e-05,483.64670335709502,0,480,348,-16.249369296778283,-512.21092637498759,0
20,0,5,-1,gate_promote,post_promote,594,0.01171875,0.2421875,8,1,-264.23014783588292,-313.98434543422968,-313.98434543422968,-264.23014783588292,-264.23014783588292,51.312296218536076,0.002067624968926257,0.10609458487438556,87,46,4.4224620602454906e-05,10151.192579517699,0,480,348,-16.249369296778283,-512.21092637498759,0
21,0,5,-1,gate_activate,pre_activate,663,0.01953125,0.2265625,8,0,-41.10290683695284,130.57593836951361,-34.52917075524357,-34.52917075524357,-34.52917075524357,183.0452720746494,0.00021630957037257378,0.03959444416119829,29,14,0,1.0000000000000001e+300,0,372,346,-74.146168121873586,5.087826611386447,0
22,0,5,-1,gate_activate,post_activate,663,0.01953125,0.2265625,8,1,-41.10290683695284,130.57593836951361,130.57593836951361,-34.52917075524357,-34.52917075524357,183.0452720746494,0.00021630957037257378,0.03959444416119829,29,14,4.4224620602454906e-05,1734.9312737526013,0,372,346,-74.146168121873586,5.087826611386447,0
23,0,5,-1,gate_activate,pre_activate,595,0.013671875,0.240234375,9,0,-146.05436191753591,-294.73840026198479,-254.615013978744,-254.615013978744,-254.615013978744,-91.610557973480937,0.029598498693410167,-2.7115349804806517,47,27,0,6287.6892978877122,0,474,480,-492.98065866070971,-16.249369296778283,0
24,0,5,-1,gate_activate,post_activate,595,0.013671875,0.240234375,9,1,-146.05436191753591,-294.73840026198479,-294.73840026198479,-254.615013978744,-254.615013978744,-91.610557973480937,0.029598498693410167,-2.7115349804806517,47,27,4.4224620602454906e-05,276.07683771326793,0,474,480,-492.98065866070971,-16.249369296778283,0
25,0,5,-1,gate_promote,pre_promote,593,0.015625,0.23828125,8,0,-32.238057400224584,-80.132431269591393,-32.238057400224584,-32.238057400224584,-32.238057400224584,306.24236712565863,0.0077944795735372828,2.3869998751126515,109,54,0,1.0000000000000001e+300,0,480,318,-16.249369296778283,-48.226745503670884,0
26,0,5,-1,gate_promote,post_promote,593,0.015625,0.23828125,8,1,-32.238057400224584,-80.132431269591393,-80.132431269591393,-32.238057400224584,-32.238057400224584,306.24236712565863,0.0077944795735372828,2.3869998751126515,109,54,4.4224620602454906e-05,727.13389384619154,0,480,318,-16.249369296778283,-48.226745503670884,0
27,0,5,-1,gate_activate,pre_activate,585,0.009765625,0.236328125,9,0,-247.87165513110136,-282.24515070560597,-332.98335876573088,-332.98335876573088,-332.98335876573088,600.48027997060922,8.0491444656121614e-05,0.048333525222346706,81,38,0,1.0000000000000001e+300,0,474,362,-492.98065866070971,-172.98605887075206,0
28,0,5,-1,gate_activate,post_activate,585,0.009765625,0.236328125,9,1,-247.87165513110136,-282.24515070560597,-282.24515070560597,-332.98335876573088,-332.98335876573088,600.48027997060922,8.0491444656121614e-05,0.048333525222346706,81,38,4.4224620602454906e-05,18504.334304878488,0,474,362,-492.98065866070971,-172.98605887075206,0
29,0,6,-1,gate_activate,pre_activate,609,0.013671875,0.248046875,9,0,-102.63370208548321,-151.92668514356086,-151.91930154633167,-151.91930154633167,-151.91930154633167,-226.12518881202658,0.00030154573675955393,-0.068187086660215793,36,18,0,28929.304140756431,0,481,356,-313.16798817071088,9.3293850780475385,0
30,0,6,-1,gate_activate,post_activate,609,0.013671875,0.248046875,9,1,-102.63370208548321,-151.92668514356086,-151.92668514356086,-151.91930154633167,-151.91930154633167,-226.12518881202658,0.00030154573675955393,-0.068187086660215793,36,18,4,5442.9598675590587,0,481,356,-313.16798817071088,9.3293850780475385,0
31,0,6,-1,gate_activate,pre_activate,709,0.0107421875,0.2451171875,10,0,-236.10397451259911,-294.12464956517982,-294.12493340647529,-294.12493340647529,-294.12493340647529,191.11322892598471,4.2131781350048092e-06,0.00080519407742112741,13,5,0,1.0000000000000001e+300,0,607,481,-275.08187864223964,-313.16798817071088,0
32,0,6,-1,gate_activate,post_activate,709,0.0107421875,0.2451171875,10,1,-236.10397451259911,-294.12464956517982,-294.12464956517982,-294.12493340647529,-294.12493340647529,191.11322892598471,4.2131781350048092e-06,0.00080519407742112741,13,5,4,620136.48610422306,0,607,481,-275.08187864223964,-313.16798817071088,0
33,0,6,-1,gate_activate,pre_activate,793,0.013671875,0.23828125,9,0,-262.60935803046715,-279.94120905990673,-279.95345921521289,-279.95345921521289,-279.95345921521289,149.66949188698015,0.00067303705190426206,0.10073311357962199,24,12,0,1.0000000000000001e+300,0,593,474,-300.58713991848731,-259.31977851193852,0
34,0,6,-1,gate_activate,post_activate,793,0.013671875,0.23828125,9,1,-262.60935803046715,-279.94120905990673,-279.94120905990673,-279.95345921521289,-279.95345921521289,149.66949188698015,0.00067303705190426206,0.10073311357962199,24,12,4,14122.575206393669,0,593,474,-300.58713991848731,-259.31977851193852,0
35,0,6,-1,gate_activate,pre_activate,708,0.0087890625,0.2451171875,10,0,-280.39440210211126,-299.62968633837812,-299.63038192379753,-299.63038192379753,-299.63038192379753,-545.31117767985756,1.041807375732524e-05,-0.0056810920697626449,22,11,0,1.0000000000000001e+300,0,607,606,-275.08187864223964,-324.17888520535541,0
36,0,6,-1,gate_activate,post_activate,708,0.0087890625,0.2451171875,10,1,-280.39440210211126,-299.62968633837812,-299.62968633837812,-299.63038192379753,-299.63038192379753,-545.31117767985756,1.041807375732524e-05,-0.0056810920697626449,22,11,4,32204.808748570471,0,607,606,-275.08187864223964,-324.17888520535541,0
37,0,6,-1,gate_activate,pre_activate,695,0.01171875,0.240234375,9,0,-378.60540324829628,-257.59476308026746,-257.59712934301729,-257.59712934301729,-257.59712934301729,164.91351599982391,0.0005024057873043589,0.082853504843021522,25,13,4,1990.4229315618873,0,594,474,-255.87448017409605,-259.31977851193852,0
38,0,6,-1,gate_activate,post_activate,695,0.01171875,0.240234375,9,1,-378.60540324829628,-257.59476308026746,-257.59476308026746,-257.59712934301729,-257.59712934301729,164.91351599982391,0.0005024057873043589,0.082853504843021522,25,13,4,30418.970076214639,0,594,474,-255.87448017409605,-259.31977851193852,0
39,0,6,-1,gate_promote,pre_promote,697,0.01171875,0.244140625,9,0,-284.52123417240347,-284.52246200688245,-284.52123417240347,-284.52123417240347,-284.52123417240347,-27.11540250899662,0.00051233008707721184,-0.013892036528567887,23,11,0,1244.5899307400339,0,594,481,-255.87448017409605,-313.16798817071088,0
40,0,6,-1,gate_promote,post_promote,697,0.01171875,0.244140625,9,1,-284.52123417240347,-284.52246200688245,-284.52246200688245,-284.52123417240347,-284.52123417240347,-27.11540250899662,0.00051233008707721184,-0.013892036528567887,23,11,4,24843.857757989066,0,594,481,-255.87448017409605,-313.16798817071088,0
41,0,6,-1,gate_promote,pre_promote,610,0.013671875,0.244140625,9,0,-160.09441328987725,-159.70007731677464,-160.09441328987725,-160.09441328987725,-160.09441328987725,-74.439030022011551,0.022391753404732477,-1.6668204039403602,33,17,4,44.659298533925927,0,481,480,-313.16798817071088,-7.0208384090436047,0
42,0,6,-1,gate_promote,post_promote,610,0.013671875,0.244140625,9,1,-160.09441328987725,-159.70007731677464,-159.70007731677464,-160.09441328987725,-160.09441328987725,-74.439030022011551,0.022391753404732477,-1.6668204039403602,33,17,4,70.063418034241749,0,481,480,-313.16798817071088,-7.0208384090436047,0
43,0,7,-1,gate_activate,pre_activate,874,0.0107421875,0.2490234375,10,0,-53.923323164448085,-261.44679340103431,-261.44688172052713,-261.44688172052713,-261.44688172052713,392.60686890787684,2.3846057148302046e-05,0.0093621258327931615,8,5,0,501569.86272560328,0,608,605,-345.27409130524381,-177.61967213581039,0
44,0,7,-1,gate_activate,post_activate,874,0.0107421875,0.2490234375,10,1,-53.923323164448085,-261.44679340103431,-261.44679340103431,-261.44688172052713,-261.44688172052713,392.60686890787684,2.3846057148302046e-05,0.0093621258327931615,8,5,4,328785.80627086357,0,608,605,-345.27409130524381,-177.61967213581039,0
45,0,7,-1,gate_promote,pre_promote,851,0.009765625,0.25,9,0,-278.35951954037967,-278.35967259219456,-278.35951954037967,-278.35951954037967,-278.35951954037967,533.20245117011063,7.2452572966811153e-05,0.038631889499484998,10,5,0,13802.132333631227,0,477,605,-379.09936694494894,-177.61967213581039,0
46,0,7,-1,gate_promote,post_promote,851,0.009765625,0.25,9,1,-278.35951954037967,-278.35967259219456,-278.35967259219456,-278.35951954037967,-278.35951954037967,533.20245117011063,7.2452572966811153e-05,0.038631889499484998,10,5,4,522268.44876926817,0,477,605,-379.09936694494894,-177.61967213581039,0
47,0,7,-1,gate_activate,pre_activate,791,0.017578125,0.23828125,9,0,-26.68786271063556,-157.1006585824201,-157.1177876422735,-157.1177876422735,-157.1177876422735,-42.745836884922433,0.0011778482674141366,-0.05034810991407318,30,12,0,4042.0397209688504,0,593,587,-300.34407475347302,-13.891500531073996,0
48,0,7,-1,gate_activate,post_activate,791,0.017578125,0.23828125,9,1,-26.68786271063556,-157.1006585824201,-157.1006585824201,-157.1177876422735,-157.1177876422735,-42.745836884922433,0.0011778482674141366,-0.05034810991407318,30,12,4,2280.9686472739654,0,593,587,-300.34407475347302,-13.891500531073996,0
49,0,8,-1,gate_promote,pre_promote,608,0.009765625,0.248046875,9,0,-344.79992838130505,-344.80064345294454,-344.79992838130505,-344.79992838130505,-344.79992838130505,283.26110171069269,0.00028618943773252471,0.081066335430078629,47,22,0,3494.1890515701325,0,481,477,-308.60661069140843,-380.99324607120167,0
50,0,8,-1,gate_promote,post_promote,608,0.009765625,0.248046875,9,1,-344.79992838130505,-344.80064345294454,-344.80064345294454,-344.79992838130505,-344.79992838130505,283.26110171069269,0.00028618943773252471,0.081066335430078629,47,22,4,101463.1173710789,0,481,477,-308.60661069140843,-380.99324607120167,0
51,1,2,-1,gate_activate,pre_activate,1372,0.015625,0.21875,6,0,-29.152763363655804,-203.83367806795073,-334.27284688480614,-334.27284688480614,-334.27284688480614,18.317147127828921,0.0021306100062597126,0.039026696956683656,239,118,8.1952159381793439e-05,469.34915214985813,0,1349,1327,-680.40249491280736,11.856801143195121,0
