run,typ,seed,gate,active,faces,max_hdepth,deep_faces,spatial_rms
batt_clean_0,clean,0,0,81,128,3,0,0.37654599775190245
batt_clean_1,clean,1,0,81,128,3,0,0.332212899193521
batt_clean_2,clean,2,0,81,128,3,0,0.354078581497411
batt_clean_3,clean,3,0,81,128,3,0,0.35907339249764236
batt_clean_4,clean,4,0,81,128,3,0,0.3589767302850273
batt_clean_5,clean,5,0,81,128,3,0,0.379020615670259
batt_clean_6,clean,6,0,81,128,3,0,0.39008957389205867
batt_clean_7,clean,7,0,81,128,3,0,0.4465837086125684
batt_clean_8,clean,8,0,81,128,3,0,0.3632474041774545
batt_clean_9,clean,9,0,81,128,3,0,0.3670869725859892
batt_mix_0,mix,0,11,105,176,5,46,9.69723648806478
batt_mix_1,mix,1,0,81,128,3,0,7.056950682037318
batt_mix_2,mix,2,5,97,160,6,28,7.223339321681604
batt_mix_3,mix,3,0,81,128,3,0,6.0020429441022065
batt_mix_4,mix,4,2,85,136,4,4,6.887558261136605
batt_mix_5,mix,5,0,81,128,3,0,10.996480352682195
batt_mix_6,mix,6,1,82,130,4,0,9.328222183274065
batt_mix_7,mix,7,0,81,128,3,0,7.987546551690962
batt_mix_8,mix,8,1,82,130,4,0,5.486526622838733
batt_mix_9,mix,9,4,91,148,5,16,10.249641555363572
