run,vertices,faces,active,gate_free,gate_in_window,gate_deep_in_window,max_hdepth,global_spatial_rms_centi,window_nonquad_rms_centi,window_faces,window_deep_faces,max_face_depth,runtime
batt_clean_0,289,128,81,0,0,0,3,0.37654599775190245,,6,0,6,31.91
batt_clean_1,289,128,81,0,0,0,3,0.332212899193521,,6,0,6,28.43
batt_clean_2,289,128,81,0,0,0,3,0.354078581497411,,6,0,6,34.96
batt_clean_3,289,128,81,0,0,0,3,0.35907339249764236,,6,0,6,29.44
batt_clean_4,289,128,81,0,0,0,3,0.3589767302850273,,6,0,6,25.81
batt_clean_5,289,128,81,0,0,0,3,0.379020615670259,,6,0,6,24.74
batt_clean_6,289,128,81,0,0,0,3,0.39008957389205867,,6,0,6,35.34
batt_clean_7,289,128,81,0,0,0,3,0.4465837086125684,,6,0,6,35.81
batt_clean_8,289,128,81,0,0,0,3,0.3632474041774545,,6,0,6,35.14
batt_clean_9,289,128,81,0,0,0,3,0.3670869725859892,,6,0,6,33.27
batt_mix_0,385,176,105,11,0,0,5,9.69723648806478,,6,0,10,43.24
batt_mix_1,289,128,81,0,0,0,3,7.056950682037318,,6,0,6,35.84
batt_mix_2,353,160,97,5,0,0,6,7.223339321681604,,8,1,11,42.5
batt_mix_3,289,128,81,0,0,0,3,6.0020429441022065,,6,0,6,34.45
batt_mix_4,305,136,85,2,0,0,4,6.887558261136605,,6,0,8,41.06
batt_mix_5,289,128,81,0,0,0,3,10.996480352682195,,6,0,6,39.83
batt_mix_6,293,130,82,1,0,0,4,9.328222183274065,,6,0,7,34.27
batt_mix_7,289,128,81,0,0,0,3,7.987546551690962,,6,0,6,40.21
batt_mix_8,293,130,82,1,0,0,4,5.486526622838733,,6,0,7,36.37
batt_mix_9,329,148,91,4,0,0,5,10.249641555363572,,6,0,9,41.31
g0_b3,3504,1695,905,573,32,0,6,43.33497553191716,,103,103,12,77.2
g0_hist,5627,2742,1443,1179,62,0,7,44.93326566970579,,150,150,13,72.04
g0_legacy,2068,995,537,362,21,0,6,43.238259533381814,,62,62,11,81.39
true_clean_b3,289,128,81,0,0,0,3,0.3472327268880845,,6,0,6,4.53
true_clean_hist,289,128,81,0,0,0,3,0.34723272688808454,,6,0,6,5.36
true_mix_b3,4149,2054,1048,176,39,14,11,30.67573338000045,,416,416,21,27.64
true_mix_hist,345,156,95,7,0,0,5,12.371843293655395,,9,2,9,7.56
v3_b3,4130,2021,1055,419,15,0,9,131.94887934187312,,85,80,18,34.1
v3_hist,1896,917,490,259,14,0,7,132.00240164788838,,36,35,14,32.19
v3_legacy,9230,4553,2339,813,2,0,23,132.2120156629508,,22,17,39,152.35
