id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
3240,0,0,-468.0452259,-468.0452259,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3241,0,1,13.87040414,13.87040414,0,-1,-1,1,0,1,0,0,0,641603.0795,0,1e+300,0,0,0,1,1,1.55859601e-06,1.55859601e-06,0.0007247654085
3242,1,0,82.92546401,82.92546401,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3243,1,1,475.7520899,475.7520899,0,-1,-1,1,0,1,0,0,0,4580.02418,0,1e+300,0,0,0,7,5,0.0002183394586,0.0002183394585,0.5237223592
3244,0.5,0.5,118.9268367,118.9268367,1,3240,3243,1,0,1,0,0,1,4.150711229,125.7385913,11.96853799,0.0003955645471,0,0,775,775,0.240922566,0.240922566,2.124810601
3245,0,0.5,-893.036975,-893.036975,1,3241,3240,1,0,1,0,0,0,432.267693,-15.98055068,2477.306864,0.0003955645471,0,0,427,427,0.002313381305,0.002313381305,0.4098517913
3246,0.5,1,246.435271,246.435271,1,3243,3241,1,0,1,0,0,0,1173816.569,211.9580808,60.98731215,0.0001,0,0,2,2,8.519218642e-07,8.519218642e-07,0.002088197222
3247,0.5,0,-50.55236888,-50.55236888,1,3242,3240,1,0,1,0,0,0,249.7137964,163.7633638,227.2650284,0.0003955645471,0,0,19,19,0.004004584506,0.004004584506,0.8887479016
3248,1,0.5,262.2647447,262.2647447,1,3243,3242,1,0,1,0,0,0,6586.230173,218.5266743,1372.049037,0.0001,0,0,8,8,0.0001518319242,0.0001518319242,0.736222171
3249,0.25,0.25,-11.08488428,-11.08488428,2,3240,3244,1,0,1,0,0,1,0.167499948,164.8714877,1.411648122,0.0003955645471,0,0,5739,5739,5.970151108,5.970151108,16.80388372
3250,0.25,0.75,40.4953898,40.4953898,2,3244,3241,1,0,1,0,0,1,11450.88801,0,0,0,0,0,18,18,8.732947163e-05,8.732947163e-05,0.03964041505
3251,0.75,0.75,273.8710241,273.8710241,2,3244,3243,1,0,1,0,0,1,453.1386793,3.783791673,1521.438416,0.0003955645471,0,0,200,200,0.00220682993,0.00220682993,1.65073815
3252,0.75,0.25,71.47381217,71.47381217,2,3244,3242,1,0,1,0,0,1,7829.805156,0,0,0,0,0,5,5,0.000127717099,0.000127717099,0.3023228157
3253,0,0.75,-295.9975643,-295.9975643,2,3241,3245,1,0,1,0,0,0,8344.662338,112.0519588,1638.345006,4.957151113e-05,0,0,5,5,0.0001198370838,0.0001198370838,0.2395851479
3254,0.25,0.5,27.47448404,27.47448404,2,3245,3244,1,0,1,0,0,0,0.5140676698,406.3812643,1.862615387,0.0003955645471,0,0,3684,3684,1.945269191,1.945269191,14.98635603
3255,0,0.25,-1014.360963,-1014.360963,2,3245,3240,1,0,1,0,0,0,640.0493822,-656.3552957,16.74054409,0.0001,0,0,29,29,0.001562379447,0.001562379447,1.044622792
3256,0.5,0.25,48.76978249,48.76978249,2,3247,3244,1,0,1,0,0,0,0.1993625888,12.37591959,1.318564441,0.0003955645471,0,0,5273,5273,5.01598623,5.01598623,19.73527299
3257,0.25,0,-259.2987974,-259.2987974,2,3247,3240,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3258,0.75,0,16.18654757,16.18654757,2,3242,3247,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3259,0.75,1,353.4138266,353.4138266,2,3243,3246,1,0,1,0,0,0,178815.238,-486.535048,168.4347091,0.0001,0,0,1,1,5.592364561e-06,5.592364561e-06,0.195401241
3260,0.5,0.75,208.433503,208.433503,2,3246,3244,1,0,1,0,0,0,327.5202043,-484.4884865,758.1258622,2.487749491e-05,0,0,193,193,0.003053246752,0.003053246752,1.7665268
3261,0.25,1,130.1528376,130.1528376,2,3246,3241,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3262,0.75,0.5,163.9760847,163.9760847,2,3248,3244,1,0,1,0,0,0,1.766549092,-22.54340572,4.95514273,0.0003955645471,0,0,1358,1358,0.5660754091,0.5660754091,33.20983575
3263,1,0.25,172.5951043,172.5951043,2,3248,3242,1,0,0,0,1,0,6.412628122e+12,0,0,0,0,0,2,0,1.559423034e-13,0,0.1559423034
