x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.875,0.796875,340.3495617,0.859375,0.796875,369.3468977,0.875,0.78125,288.1740148,5
0.875,0.796875,340.3495617,0.875,0.8125,392.5251085,0.859375,0.796875,369.3468977,4
0.171875,0.0625,-237.9974365,0.171875,0.078125,-220.4664094,0.15625,0.0625,-282.6773018,10
0.15625,0.078125,-265.1462748,0.171875,0.078125,-220.4664094,0.15625,0.0625,-282.6773018,14
0.1640625,0.0859375,-234.0408286,0.171875,0.09375,-174.8776374,0.15625,0.09375,-247.6152477,16
0.171875,0.046875,-228.0579732,0.15625,0.03125,-262.7983753,0.15625,0.0625,-282.6773018,0
0,0.671875,242.9823038,0.015625,0.671875,-121.7498492,0,0.6875,258.8768843,19
0.001953125,0.513671875,-564.5601805,0,0.51171875,-772.0044853,0.00390625,0.51171875,-736.4927105,4
0.00390625,0.5703125,-458.7804211,0.0078125,0.5703125,-722.3069829,0.00390625,0.57421875,-409.0749516,8
0.19140625,0.1328125,-93.99074066,0.19140625,0.12890625,-249.8976162,0.1875,0.1328125,-212.8011518,2
0.19140625,0.1328125,-93.99074066,0.1953125,0.1328125,-218.1274245,0.19140625,0.12890625,-249.8976162,0
0.19140625,0.1328125,-93.99074066,0.19140625,0.13671875,-181.0309601,0.1875,0.1328125,-212.8011518,3
0.19140625,0.1328125,-93.99074066,0.1953125,0.1328125,-218.1274245,0.19140625,0.13671875,-181.0309601,1
0.5546875,0.4453125,128.298539,0.546875,0.4375,127.020221,0.546875,0.453125,122.4765416,190
0.5546875,0.4453125,128.298539,0.5625,0.4375,134.1205365,0.546875,0.4375,127.020221,364
0.5625,0.4453125,141.0652699,0.5625,0.4375,134.1205365,0.5546875,0.4453125,128.298539,203
0.013671875,0.576171875,-413.5238104,0.01171875,0.57421875,-723.7659426,0.015625,0.57421875,-412.6813455,9
0.56640625,0.44921875,145.2926494,0.5703125,0.453125,149.5200288,0.5703125,0.4453125,142.5752953,0
0.56640625,0.44921875,145.2926494,0.5625,0.453125,148.0100034,0.5703125,0.453125,149.5200288,0
0.0703125,0.6484375,-187.4935259,0.078125,0.65625,-160.5477499,0.078125,0.640625,-192.6004541,27
0.0703125,0.6484375,-187.4935259,0.0625,0.65625,-182.3865977,0.078125,0.65625,-160.5477499,50
0.6171875,0.6484375,202.8011273,0.609375,0.65625,214.1223174,0.609375,0.640625,191.9093215,181
0.78125,0.640625,242.9277844,0.796875,0.640625,235.0961221,0.78125,0.625,233.2362436,4
0.78125,0.640625,242.9277844,0.78125,0.65625,252.6193252,0.796875,0.640625,235.0961221,337
0.5859375,0.640625,169.7130837,0.5859375,0.6484375,187.5439628,0.59375,0.640625,192.0087124,3
0.5859375,0.640625,169.7130837,0.578125,0.640625,160.536224,0.5859375,0.6484375,187.5439628,3
0.01171875,0.63671875,-239.2407771,0.0078125,0.640625,-157.2732467,0.015625,0.640625,-284.9036437,18
0.171875,0.046875,-228.0579732,0.1875,0.03125,-207.4132537,0.1875,0.0625,-193.3175711,0
0.171875,0.046875,-228.0579732,0.15625,0.03125,-262.7983753,0.1875,0.03125,-207.4132537,0
0.203125,0.046875,-208.7470514,0.1875,0.03125,-207.4132537,0.1875,0.0625,-193.3175711,1
0.203125,0.046875,-208.7470514,0.21875,0.03125,-224.1765318,0.1875,0.03125,-207.4132537,0
0,0.583984375,-118.014207,0.001953125,0.583984375,-111.5147483,0,0.5859375,-125.4046359,4
0.00390625,0.640625,36.70204137,0.00390625,0.64453125,14.74091726,0,0.640625,-29.64284974,4
0.00390625,0.640625,36.70204137,0.0078125,0.640625,-157.2732467,0.00390625,0.64453125,14.74091726,3
0.015625,0.57421875,-412.6813455,0.01953125,0.57421875,-644.3766964,0.015625,0.5703125,-423.4104967,9
0.01171875,0.5859375,-309.4937004,0.01171875,0.58203125,-530.5097636,0.015625,0.5859375,-283.192776,17
0.0078125,0.63671875,-73.51029812,0.00390625,0.63671875,5.815034462,0.0078125,0.640625,-157.2732467,2
0.0078125,0.63671875,-73.51029812,0.0078125,0.6328125,-193.5779104,0.00390625,0.63671875,5.815034462,2
0.00390625,0.5625,-445.8543908,0.00390625,0.55859375,-473.1274337,0,0.5625,-294.6647983,6
0.00390625,0.5625,-445.8543908,0.0078125,0.5625,-597.0439833,0.00390625,0.55859375,-473.1274337,3
0.6328125,0.7265625,226.4366607,0.640625,0.71875,228.4186181,0.640625,0.734375,245.2955499,1
0.6328125,0.7265625,226.4366607,0.625,0.71875,207.5777716,0.640625,0.71875,228.4186181,93
0.00390625,0.515625,-745.5791966,0.0078125,0.515625,-747.7144623,0.00390625,0.51953125,-708.1809355,12
0.00390625,0.52734375,-694.6225392,0,0.53125,-593.8508866,0,0.5234375,-668.6474087,24
0.16796875,0.14453125,-217.7971653,0.1640625,0.140625,-203.2384413,0.1640625,0.1484375,-205.0230368,53
0.16796875,0.14453125,-217.7971653,0.171875,0.140625,-230.5712938,0.1640625,0.140625,-203.2384413,50
0.6328125,0.734375,264.8369622,0.6328125,0.7421875,244.6660126,0.625,0.734375,284.3783746,0
0.6328125,0.734375,264.8369622,0.640625,0.734375,245.2955499,0.6328125,0.7421875,244.6660126,0
0.005859375,0.583984375,-330.9716652,0.0078125,0.58203125,-373.1642681,0.0078125,0.5859375,-335.7946248,0
0.00390625,0.64453125,14.74091726,0,0.6484375,310.686288,0.0078125,0.6484375,-158.2641915,19
0.00390625,0.64453125,14.74091726,0,0.640625,-29.64284974,0,0.6484375,310.686288,5
0.1328125,0.5703125,-330.9339764,0.140625,0.5625,-25.63329634,0.140625,0.578125,-179.2433706,0
0.1328125,0.5703125,-330.9339764,0.125,0.5625,-83.79012448,0.140625,0.5625,-25.63329634,1
0.1328125,0.5703125,-330.9339764,0.125,0.578125,-88.88817274,0.140625,0.578125,-179.2433706,1
0.1328125,0.5703125,-330.9339764,0.125,0.5625,-83.79012448,0.125,0.578125,-88.88817274,18
0.001953125,0.572265625,-302.1644055,0.00390625,0.5703125,-458.7804211,0.00390625,0.57421875,-409.0749516,12
0.015625,0.576171875,108.9873824,0.017578125,0.576171875,-684.8007994,0.015625,0.57421875,-412.6813455,3
0.015625,0.576171875,108.9873824,0.015625,0.578125,-725.2249024,0.017578125,0.576171875,-684.8007994,1
0,0.587890625,-68.30873753,0.001953125,0.587890625,-173.9632199,0,0.58984375,-11.21283921,3
0.17578125,0.140625,-143.3317751,0.17578125,0.14453125,-150.4965543,0.1796875,0.140625,-127.1912956,13
0.00390625,0.65234375,152.8712937,0.0078125,0.65625,-85.63878559,0.0078125,0.6484375,-158.2641915,14
0.00390625,0.65234375,152.8712937,0,0.65625,-31.62473919,0.0078125,0.65625,-85.63878559,5
0.0078125,0.57421875,-566.4204471,0.0078125,0.5703125,-722.3069829,0.00390625,0.57421875,-409.0749516,9
0.001953125,0.58203125,430.048781,0.00390625,0.58203125,-985.1222341,0.001953125,0.580078125,-540.4825773,16
0.017578125,0.583984375,-368.6058046,0.015625,0.58203125,-504.2088392,0.01953125,0.58203125,-454.0188332,13
0.017578125,0.583984375,-368.6058046,0.015625,0.5859375,-283.192776,0.015625,0.58203125,-504.2088392,12
