id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
2647,0,0,-426.0283129,-426.0283129,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
2648,0,1,41.77351275,41.77351275,0,-1,-1,1,0,1,0,0,0,512809.732,0,1e+300,0,0,0,1,1,1.950040995e-06,1.950040995e-06,0.0007247654085
2649,1,0,98.92286912,98.92286912,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
2650,1,1,470.5582877,470.5582877,0,-1,-1,1,0,1,0,0,0,4409.949447,0,1e+300,0,0,0,7,5,0.000226759969,0.0002267599689,0.5234448687
2651,0.5,0.5,165.8061194,165.8061194,1,2647,2650,1,0,1,0,0,1,1.850995212,136.4716755,14.28105392,0.0003348888116,0,0,3095,3095,0.5402499119,0.5402499119,4.836328712
2652,0,0.5,-554.0374362,-554.0374362,1,2648,2647,1,0,1,0,0,0,17.91870702,419.7718682,325.4198988,9.144131583e-05,0,0,517,517,0.05580759812,0.05580759812,0.6716347387
2653,0.5,1,256.2186691,256.2186691,1,2650,2648,1,0,1,0,0,0,1498347.648,211.9580808,60.98731215,0.0001,0,0,2,2,6.67401855e-07,6.67401855e-07,0.002139729565
2654,0.5,0,-45.52559018,-45.52559018,1,2649,2647,1,0,1,0,0,0,251.5642326,134.000859,232.0176616,0.0003348888116,0,0,19,19,0.003975127902,0.003975127902,0.8882723594
2655,1,0.5,271.9904082,271.9904082,1,2650,2649,1,0,1,0,0,0,6343.644932,218.5266743,1372.049037,0.0001,0,0,8,8,0.0001576380789,0.0001576380789,0.728906272
2656,0.25,0.25,-8.120149042,-8.120149042,2,2647,2651,1,0,1,0,0,1,0.1034567057,117.3168963,0.2871164946,0.0003348888116,0,0,10594,10594,9.665879005,9.665879005,26.82127806
2657,0.25,0.75,49.00436881,49.00436881,2,2651,2648,1,0,1,0,0,1,11846.41909,0,0,0,0,0,13,13,8.441369432e-05,8.441369432e-05,0.03862137295
2658,0.75,0.75,268.2297929,268.2297929,2,2651,2650,1,0,1,0,0,1,49.40030641,-39.10582577,732.473099,9.144131583e-05,0,0,767,767,0.02024278942,0.02024278942,5.820941567
2659,0.75,0.25,91.78044922,91.78044922,2,2651,2649,1,0,1,0,0,1,8168.430761,0,0,0,0,0,5,5,0.0001224225349,0.0001224225349,0.3024613082
