x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.078125,0.5703125,-254.8063679,0.078125,0.578125,-251.4629185,0.0859375,0.5703125,-232.2549552,2
0.0703125,0.5703125,-277.3577807,0.0625,0.5625,-303.2526428,0.078125,0.5625,-258.1498174,2
0.0859375,0.5703125,-232.2549552,0.09375,0.5625,-213.046992,0.078125,0.5625,-258.1498174,11
0.03515625,0.68359375,-148.7271695,0.03125,0.6875,-128.0369256,0.03125,0.6796875,-151.5449695,0
0.03515625,0.67578125,-172.2352134,0.03125,0.671875,-175.0530134,0.03125,0.6796875,-151.5449695,8
0.953125,0.8671875,447.0230653,0.9609375,0.8671875,411.4879187,0.953125,0.875,438.913435,0
0.953125,0.8671875,447.0230653,0.953125,0.859375,455.1326955,0.9609375,0.8671875,411.4879187,0
0.96875,0.859375,390.367361,0.984375,0.859375,423.6595228,0.96875,0.875,367.843142,140
0.96875,0.859375,390.367361,0.96875,0.84375,412.89158,0.984375,0.859375,423.6595228,2
0.0390625,0.671875,-192.9254572,0.046875,0.671875,-210.797901,0.0390625,0.6796875,-169.4174133,48
0.0546875,0.6015625,-256.4282763,0.0625,0.59375,-254.773157,0.046875,0.59375,-282.3231385,39
0.0625,0.5703125,-304.5785338,0.0546875,0.5703125,-304.9077621,0.0625,0.578125,-279.0128999,1
0.0625,0.5703125,-304.5785338,0.0625,0.5625,-303.2526428,0.0546875,0.5703125,-304.9077621,2
0.0625,0.6484375,-231.6479752,0.0546875,0.6484375,-208.5457861,0.0625,0.640625,-198.611754,13
0.0625,0.6484375,-231.6479752,0.0625,0.65625,-190.9298367,0.0546875,0.6484375,-208.5457861,34
0.0546875,0.640625,-250.5014251,0.0546875,0.6484375,-208.5457861,0.0625,0.640625,-198.611754,10
0.0546875,0.640625,-250.5014251,0.046875,0.640625,-226.1617354,0.0546875,0.6484375,-208.5457861,20
0.03515625,0.6796875,-118.278959,0.03515625,0.67578125,-172.2352134,0.03125,0.6796875,-151.5449695,1
0.03515625,0.6796875,-118.278959,0.0390625,0.6796875,-169.4174133,0.03515625,0.67578125,-172.2352134,1
0.07421875,0.57421875,-224.4400977,0.0703125,0.578125,-265.2379092,0.078125,0.578125,-251.4629185,2
0.07421875,0.57421875,-224.4400977,0.0703125,0.5703125,-277.3577807,0.0703125,0.578125,-265.2379092,4
0.484375,0.421875,112.5578109,0.5,0.40625,111.1814511,0.46875,0.40625,121.8609921,187
0.484375,0.421875,112.5578109,0.5,0.4375,103.2546297,0.5,0.40625,111.1814511,110
0.0703125,0.578125,-265.2379092,0.0703125,0.5859375,-253.1180377,0.0625,0.578125,-279.0128999,36
0.0703125,0.578125,-265.2379092,0.078125,0.578125,-251.4629185,0.0703125,0.5859375,-253.1180377,6
0.0390625,0.7578125,34.15003137,0.046875,0.75,-92.22205209,0.046875,0.765625,-80.85943211,4
0.0390625,0.6875,-150.5110678,0.046875,0.6875,-172.9852099,0.0390625,0.6796875,-169.4174133,10
0.05859375,0.61328125,-318.4238994,0.0546875,0.609375,-244.3084048,0.0546875,0.6171875,-256.8997133,6
0.05859375,0.61328125,-318.4238994,0.0625,0.609375,-230.5334141,0.0546875,0.609375,-244.3084048,7
0.01171875,0.578125,-390.0346198,0.01171875,0.58203125,-529.5035995,0.0078125,0.578125,-408.982087,26
0.01171875,0.578125,-390.0346198,0.015625,0.578125,-711.6129617,0.01171875,0.58203125,-529.5035995,12
0.0078125,0.58203125,-383.346937,0.01171875,0.58203125,-529.5035995,0.0078125,0.578125,-408.982087,24
0.0078125,0.58203125,-383.346937,0.0078125,0.5859375,-347.3942373,0.01171875,0.58203125,-529.5035995,32
0.0859375,0.6328125,-190.1211494,0.09375,0.640625,-143.511791,0.078125,0.640625,-171.0617725,12
0.0859375,0.6328125,-190.1211494,0.09375,0.625,-151.1937082,0.09375,0.640625,-143.511791,16
0.09375,0.640625,-143.511791,0.109375,0.640625,-115.9618095,0.09375,0.625,-151.1937082,35
0.09375,0.640625,-143.511791,0.09375,0.65625,-135.8298738,0.109375,0.640625,-115.9618095,79
0.890625,0.84375,382.5473786,0.890625,0.828125,385.5509697,0.875,0.84375,381.6136674,2
0.890625,0.84375,382.5473786,0.90625,0.84375,383.4810898,0.890625,0.828125,385.5509697,1
0.89453125,0.8671875,394.1995397,0.89453125,0.86328125,385.0370376,0.890625,0.8671875,386.8159279,0
0.89453125,0.8671875,394.1995397,0.8984375,0.8671875,401.5831514,0.89453125,0.86328125,385.0370376,0
0.8984375,0.859375,375.9233291,0.8984375,0.8515625,375.9860067,0.90625,0.859375,383.3557346,0
0.8984375,0.859375,375.9233291,0.890625,0.859375,368.4909237,0.8984375,0.8515625,375.9860067,0
0.0078125,0.525390625,-811.1003353,0.005859375,0.525390625,-826.9625927,0.0078125,0.52734375,-698.2098423,0
0.0078125,0.525390625,-811.1003353,0.0078125,0.5234375,-923.9950265,0.005859375,0.525390625,-826.9625927,0
0.00390625,0.59765625,-362.0681234,0,0.6015625,45.05447111,0.0078125,0.6015625,-370.5372297,24
0.00390625,0.59765625,-362.0681234,0,0.59375,61.56758704,0,0.6015625,45.05447111,42
0.8984375,0.8515625,375.9860067,0.890625,0.84375,382.5473786,0.890625,0.859375,368.4909237,0
0.8984375,0.8515625,375.9860067,0.90625,0.84375,383.4810898,0.890625,0.84375,382.5473786,0
0.0078125,0.59765625,-261.8181417,0.00390625,0.59765625,-362.0681234,0.0078125,0.59375,-409.7809811,8
0.0078125,0.59765625,-261.8181417,0.0078125,0.6015625,-370.5372297,0.00390625,0.59765625,-362.0681234,6
0.00390625,0.60546875,-263.1104707,0,0.6015625,45.05447111,0.0078125,0.6015625,-370.5372297,19
0.00390625,0.60546875,-263.1104707,0,0.609375,28.54135519,0,0.6015625,45.05447111,12
0.65234375,0.64453125,218.1408749,0.65625,0.6484375,241.5006886,0.6484375,0.6484375,210.0557059,0
0.65234375,0.64453125,218.1408749,0.65625,0.640625,269.2027385,0.65625,0.6484375,241.5006886,4
0.671875,0.65625,220.6396751,0.671875,0.671875,221.2845044,0.6875,0.65625,227.4807116,1
0.671875,0.65625,220.6396751,0.65625,0.65625,213.7986387,0.671875,0.671875,221.2845044,2
0.6640625,0.6484375,218.2174646,0.671875,0.65625,220.6396751,0.65625,0.65625,213.7986387,167
0.6640625,0.6484375,218.2174646,0.671875,0.640625,222.6362905,0.671875,0.65625,220.6396751,140
0.796875,0.7265625,281.5649612,0.8046875,0.7265625,286.6795965,0.796875,0.71875,277.4993177,2
0.79296875,0.73046875,310.4317387,0.7890625,0.734375,281.1604336,0.7890625,0.7265625,276.450326,1
0.79296875,0.73046875,310.4317387,0.796875,0.734375,285.6306048,0.7890625,0.734375,281.1604336,0
0.77734375,0.72265625,267.3900153,0.78125,0.71875,267.2700471,0.78125,0.7265625,271.9801548,34
0.77734375,0.73046875,312.2043682,0.78125,0.734375,276.6902624,0.78125,0.7265625,271.9801548,1
0.77734375,0.7265625,269.7450692,0.77734375,0.73046875,312.2043682,0.78125,0.7265625,271.9801548,0
0.77734375,0.7265625,269.7450692,0.7734375,0.7265625,267.5099836,0.77734375,0.73046875,312.2043682,0
0.0078125,0.7265625,284.6534765,0.015625,0.71875,3.50336335,0.015625,0.734375,98.52432172,11
0.0078125,0.7265625,284.6534765,0,0.71875,114.0751567,0.015625,0.71875,3.50336335,15
0.0078125,0.6953125,15.11268795,0,0.703125,689.6073502,0.015625,0.703125,79.82637054,9
0.0234375,0.6328125,-263.367975,0.03125,0.625,-245.4742517,0.03125,0.640625,-245.7520257,69
0.01171875,0.62890625,-241.1205528,0.015625,0.6328125,-281.1228114,0.0078125,0.6328125,-172.3120028,4
0.01171875,0.62890625,-241.1205528,0.015625,0.625,-280.9839244,0.015625,0.6328125,-281.1228114,2
0.0234375,0.6328125,-263.367975,0.03125,0.640625,-245.7520257,0.015625,0.640625,-281.2616984,80
0.1328125,0.5859375,-165.8775655,0.125,0.578125,-116.1544422,0.140625,0.578125,-89.96146716,2
0.1328125,0.5859375,-165.8775655,0.125,0.59375,-109.4675432,0.125,0.578125,-116.1544422,18
0.1328125,0.5703125,-275.4886151,0.125,0.578125,-116.1544422,0.140625,0.578125,-89.96146716,1
0.1328125,0.5703125,-275.4886151,0.125,0.5625,-122.8413411,0.125,0.578125,-116.1544422,18
0.1328125,0.5703125,-275.4886151,0.140625,0.5625,-91.42808292,0.140625,0.578125,-89.96146716,0
0.1328125,0.5703125,-275.4886151,0.125,0.5625,-122.8413411,0.140625,0.5625,-91.42808292,1
0.6171875,0.6484375,199.2415891,0.609375,0.65625,200.9669544,0.609375,0.640625,202.2776378,181
0.6171875,0.6484375,199.2415891,0.625,0.65625,196.2055404,0.609375,0.65625,200.9669544,165
0.609375,0.671875,199.6562709,0.59375,0.6875,203.1070014,0.59375,0.65625,205.7283683,2
