rep,naked,naked_adm,final,final_adm
1,1.207638954125851,154,1.218998353407138,144
2,1.170224988231475,150,1.1568568061551525,135
3,1.1716302576006397,163,1.1723935398517145,127
4,1.3380578323195833,145,1.3501061600461448,128
5,1.2250770517018605,149,1.2678497547084528,120
6,1.0968022431697328,164,1.0990124515282012,138
7,1.0941410833147063,163,1.2488504458336245,129
8,1.197574693636816,138,1.190990095073932,137
9,1.1241134995349675,167,1.1368831355880311,108
10,1.1216341096761173,161,1.1283350998010462,134
