rep,shipped_prev,shipped_here,PL,GAM_prev,maxdev_shipped,maxdev_PL,maxp_PL
1,2.9837189976266854,3.174657638018642,1.207638954125851,1.298935091836532,6657.3514829454125,838.8319135653173,0.1880777841
2,2.2837308877032063,2.327544503647336,1.170224988231475,1.2475954146861337,13335.30688156506,1008.4731107355401,0.1487644156
3,1.209448891656742,1.2152352328522302,1.1716302576006397,1.2215209645478886,368.02327930498507,657.5087349239866,0.1070638028
4,1.2985667635517275,1.3346642121307384,1.3380578323195833,1.36705313987781,1213.328165320646,1443.1896196319049,0.06867955856
5,1.2803185701746382,1.2442874122889824,1.2250770517018605,1.293959994088832,773.151459155727,1245.115208228327,0.1433844381
6,1.5731617534061093,1.2773845718885675,1.0968022431697328,1.1922652323094491,620.7158274602116,420.32624911552375,0.1797067591
7,1.135872918967826,1.124781342810369,1.0941410833147063,1.1696333604289555,240.48298784640747,275.52139054508706,0.1400317977
8,1.164850841326358,1.2120573682636455,1.197574693636816,1.2475625394964356,915.8369773177083,932.9849116775349,0.1615060923
9,1.1110204292697847,1.119298657214737,1.1241134995349675,1.2295473456249657,264.5746507972399,567.3453366119011,0.1801763501
10,1.7035603426187953,1.7750961488725119,1.1216341096761173,1.1650707970868577,8665.466172905904,738.433936832369,0.1442005993
