rep,lindsey,lindsey_adm,onelaw,onelaw_adm
1,1.207638954125851,154,1.2282824669921535,52
2,1.170224988231475,150,1.1710512165646045,63
3,1.1716302576006397,163,1.186016839267171,37
4,1.3380578323195833,145,1.328020805249123,40
5,1.2250770517018605,149,1.2773967995575155,41
6,1.0968022431697328,164,1.1179884625396408,65
7,1.0941410833147063,163,1.1140215851566722,71
8,1.197574693636816,138,1.2226520203681752,53
9,1.1241134995349675,167,1.2334739070228946,36
10,1.1216341096761173,161,1.1608111928367888,58
