rep,lindsey,lindsey_adm,perm_k4q15,perm_k4q15_adm,perm_k2q10,perm_k2q10_adm
1,1.207638954125851,154,1.3699208530184586,39,1.2867054949642076,73
2,1.170224988231475,150,1.2730579112860139,23,1.2040829782001,71
3,1.1716302576006397,163,1.2642644036368882,26,1.2417072712554083,75
4,1.3380578323195833,145,1.3720006031250456,26,1.3264427269788674,63
5,1.2250770517018605,149,1.3142479701956487,44,1.2704512764735716,76
6,1.0968022431697328,164,1.1680711686247565,41,1.1729411413762305,73
7,1.0941410833147063,163,1.1866265645500613,35,1.1446355233597036,79
8,1.197574693636816,138,1.238549228792449,41,1.2692373054928452,70
9,1.1241134995349675,167,1.303671220045964,26,1.1998297195214445,65
10,1.1216341096761173,161,1.1536189244184112,37,1.139295303827622,77
