kind,seed,arm,admitted,max_depth,max_abs_h
clean,0,pl,0,0,0.0
clean,0,ship,0,0,0.0
clean,1,pl,0,0,0.0
clean,1,ship,0,0,0.0
clean,2,pl,0,0,0.0
clean,2,ship,0,0,0.0
clean,3,pl,0,0,0.0
clean,3,ship,0,0,0.0
clean,4,pl,0,0,0.0
clean,4,ship,0,0,0.0
clean,5,pl,0,0,0.0
clean,5,ship,347,8,33695.78722
clean,6,pl,1,4,19.85512454
clean,6,ship,1,4,19.04381906
clean,7,pl,0,0,0.0
clean,7,ship,0,0,0.0
clean,8,pl,0,0,0.0
clean,8,ship,0,0,0.0
clean,9,pl,0,0,0.0
clean,9,ship,447,10,147.5042396
heavy,0,pl,212,10,658.8118749
heavy,0,ship,836,10,8599.226603
heavy,1,pl,93,9,807.3410066
heavy,1,ship,111,10,404.1352347
heavy,2,pl,231,10,1312.162085
heavy,2,ship,230,9,689.4241736
heavy,3,pl,186,9,612.9807643
heavy,3,ship,660,10,1.898538124e+31
heavy,4,pl,308,11,2425.173584
heavy,4,ship,290,9,4148.746719
heavy,5,pl,146,9,1154.733933
heavy,5,ship,268,10,4061.331539
heavy,6,pl,192,9,1085.995083
heavy,6,ship,958,10,5.258838369e+26
heavy,7,pl,78,7,996.8414884
heavy,7,ship,90,7,6014.198751
heavy,8,pl,56,7,437.6571811
heavy,8,ship,103,7,576.1852128
heavy,9,pl,298,10,1500.73908
heavy,9,ship,127,8,2427.413717
