rep,rec_noHF,ctl,lwf
1,1.2295916918535872,1.2295739036386164,1.222738963765689
2,1.1727316104442855,1.172706996245252,1.174839857083046
3,1.1494562401270747,1.149076043060602,1.1600928616153205
4,1.3715079642890928,1.370989456076246,1.3777213182699417
5,1.2358287106350152,1.2358008644548757,1.2612132016508566
6,1.0981376693417233,1.0981772504039704,1.1110224373321145
7,1.0850584943548145,1.0850447677692816,1.0858365245986787
8,1.2952890234096868,1.295714784156872,1.2719762965745887
9,1.140793022261437,1.1407096674475536,1.1565038605400815
10,1.1144760694669176,1.1144912411575931,1.1142944278603761
