id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
3659,0,0,-386.4251092,-386.4251092,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3660,0,1,76.38084615,76.38084615,0,-1,-1,1,0,1,0,0,0,4.461722315e+14,0,1e+300,0,0,0,2,0,2.24128695e-15,0,0.00224128695
3661,1,0,44.5278211,44.5278211,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3662,1,1,0,128.6012224,0,-1,-1,1,0,1,0,0,0,578.8956063,0,1e+300,0,0,0,38,21,0.001727427172,0.001727427169,1.613396827
3663,0.5,0.5,138.0201374,138.0201374,1,3659,3662,1,0,1,0,0,1,0.2704031476,331.5471428,0.2829602409,4.357348349e-05,0,0,6640,6640,3.698181803,3.698181803,45.28863258
3664,0,0.5,-502.0077882,-502.0077882,1,3660,3659,1,0,1,0,0,0,1.727835221,-465.4078483,1008.046433,4.357348349e-05,0,0,3200,3200,0.578758893,0.578758893,3.9044152
3665,0.5,1,159.6288677,159.6288677,1,3662,3660,1,0,1,0,0,0,133703.8896,202.0142674,69.99660943,0.0001,0,0,1,1,7.479213977e-06,7.479213977e-06,0.02658960352
3666,0.5,0,-16.4536908,-16.4536908,1,3661,3659,1,0,1,0,0,0,210.3561901,159.9909918,208.4455877,4.357348349e-05,0,0,23,23,0.004753841566,0.004753841566,0.9654224487
3667,1,0.5,374.1063099,374.1063099,1,3662,3661,1,0,1,0,0,0,591.9833065,262.6156505,4920.603195,8.727846404e-06,0,0,149,149,0.001689236823,0.001689236823,6.338910639
3668,0.25,0.25,5.910684397,5.910684397,2,3659,3663,1,0,1,0,0,1,0.08850705935,130.4847906,0.102587375,4.357348349e-05,0,0,15075,15075,11.29853378,11.29853378,32.40597769
3669,0.25,0.75,-158.3660417,-158.3660417,2,3663,3660,1,0,1,0,0,1,5089.313726,0,0,0,0,0,12,12,0.0001964901466,0.0001964901466,0.1029783989
3670,0.75,0.75,283.2534594,283.2534594,2,3663,3662,1,0,1,0,0,1,2.275494598,216.3034894,2.730433743,4.357348349e-05,0,0,5875,5875,0.4394648974,0.4394648974,33.42590546
3671,0.75,0.25,-22.62140594,-22.62140594,2,3663,3661,1,0,1,0,0,1,1192.278613,-101.4848037,1133.396689,4.357348349e-05,0,0,12,12,0.0008387301335,0.0008387301335,1.500318262
3672,0,0.75,-192.1126236,-192.1126236,2,3660,3664,1,0,1,0,0,0,0.6878112825,295.0714237,908.4912386,7.821802095e-06,0,0,5731,5731,1.453887172,1.453887172,12.17343029
3673,0.25,0.5,28.03701035,28.03701035,2,3664,3663,1,0,1,0,0,0,0.3621241212,209.9570938,1.565512917,4.357348349e-05,0,0,4479,4479,2.761484092,2.761484092,25.65363542
3674,0,0.25,-875.0557673,-875.0557673,2,3664,3659,1,0,1,0,0,0,379.2712924,333.0890997,52.6553241,0.0001,0,0,34,34,0.002636635095,0.002636635095,0.1809601754
3675,0.5,0.25,78.71885337,78.71885337,2,3666,3663,1,0,1,0,0,0,0.1849462017,18.00946242,0.1849447113,4.357348349e-05,0,0,5907,5907,5.406977762,5.406977762,19.08404964
3676,0.25,0,-100.9017013,-100.9017013,2,3666,3659,1,0,1,0,0,0,1.499289857,101.860067,1.499191916,4.357348349e-05,0,0,486,486,0.6669824351,0.6669824351,1.180814126
3677,0.75,0,14.03706515,14.03706515,2,3661,3666,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3678,0.75,1,450.6049947,450.6049947,2,3662,3665,1,0,1,0,0,0,251.1475088,308.8442026,4889.697406,4.357348349e-05,0,0,356,356,0.003981723747,0.003981723747,0.5342717697
3679,0.5,0.75,197.2665616,197.2665616,2,3665,3663,1,0,1,0,0,0,10.40599556,50.63288408,10.4218246,4.357348349e-05,0,0,1834,1834,0.09609844579,0.09609844579,2.015722664
3680,0.25,1,118.0048569,118.0048569,2,3665,3660,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3681,0.75,0.5,164.5138781,164.5138781,2,3667,3663,1,0,1,0,0,0,0.6247882667,-93.10252522,1.316195876,4.357348349e-05,0,0,4697,4697,1.600542221,1.600542221,56.43411117
3682,1,0.25,209.3170655,209.3170655,2,3667,3661,1,0,0,0,1,0,6.412628122e+12,0,0,0,0,0,2,0,1.559423034e-13,0,0.1559423034
3683,1,0.75,374.72266,374.72266,2,3662,3667,1,0,1,0,0,0,8.861940733,181.7423163,39.28881293,4.357348349e-05,0,0,3731,3731,0.1128420997,0.1128420997,19.59008891
3684,0.125,0.125,-271.0381345,-271.0381345,3,3659,3668,1,0,1,0,0,1,0.1272706133,-79.53157461,0.127271528,4.357348349e-05,0,0,6852,6852,7.857273368,7.857273368,21.65519003
3685,0.125,0.375,-174.3358375,-174.3358375,3,3668,3664,1,0,1,0,0,1,0.3336210706,75.50172005,0.6711674338,4.357348349e-05,0,0,5120,5120,2.997412598,2.997412598,14.43185887
