x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.875,0.25,93.34782978,0.875,0.125,10.95320758,1,0.25,209.3170655,1
0.875,0.25,93.34782978,0.75,0.25,-22.62140594,0.875,0.125,10.95320758,0
1,0.125,126.9224433,0.875,0.125,10.95320758,1,0.25,209.3170655,0
1,0.125,126.9224433,1,0,44.5278211,0.875,0.125,10.95320758,0
0.875,0,29.28244313,0.875,0.125,10.95320758,1,0,44.5278211,0
0.875,0,29.28244313,0.75,0,14.03706515,0.875,0.125,10.95320758,0
0.6875,0.9375,357.307756,0.625,1,305.1169312,0.625,0.875,264.0105173,0
0.6875,0.9375,357.307756,0.75,1,450.6049947,0.625,1,305.1169312,0
0.125,0.796875,-116.5794287,0.125,0.8125,-36.56263343,0.140625,0.796875,-57.04301409,0
0.15625,0.8125,-56.50357626,0.15625,0.84375,-35.48375777,0.125,0.8125,-36.56263343,0
0.15625,0.8125,-56.50357626,0.1875,0.8125,-76.44451909,0.15625,0.84375,-35.48375777,0
0.009765625,0.658203125,-62.26432356,0.0078125,0.66015625,-49.00259703,0.01171875,0.66015625,-81.7746581,3
0.009765625,0.658203125,-62.26432356,0.0078125,0.65625,-42.75398901,0.0078125,0.66015625,-49.00259703,15
0.0234375,0.66015625,-188.6379447,0.0234375,0.6640625,-190.1128148,0.02734375,0.66015625,-214.7495851,37
0.01171875,0.64453125,-206.284282,0.0078125,0.6484375,-129.9261436,0.015625,0.6484375,-195.4702657,14
0.03125,0.6484375,-247.7479718,0.0390625,0.6484375,-234.4815557,0.03125,0.640625,-256.1095881,48
0.03125,0.6484375,-247.7479718,0.03125,0.65625,-239.3863554,0.0390625,0.6484375,-234.4815557,60
0.75,0.125,-4.292170396,0.875,0.125,10.95320758,0.75,0,14.03706515,0
0.75,0.125,-4.292170396,0.75,0.25,-22.62140594,0.875,0.125,10.95320758,0
0.8125,0.5,62.2385401,0.8125,0.4375,72.2125201,0.875,0.5,-40.03679789,2
0.8125,0.5,62.2385401,0.75,0.5,164.5138781,0.8125,0.4375,72.2125201,30
0.75,0.375,95.92338172,0.75,0.25,-22.62140594,0.875,0.375,-20.0888379,7
0.875,0.25,93.34782978,0.875,0.375,-20.0888379,1,0.25,209.3170655,1
0.875,0.25,93.34782978,0.75,0.25,-22.62140594,0.875,0.375,-20.0888379,0
0.8125,0.4375,72.2125201,0.75,0.375,95.92338172,0.875,0.375,-20.0888379,2
0.8125,0.4375,72.2125201,0.75,0.5,164.5138781,0.75,0.375,95.92338172,263
0.9375,0.625,254.1633023,0.9375,0.6875,301.6941609,1,0.625,279.6609429,60
0.9375,0.625,254.1633023,0.875,0.625,228.6656617,0.9375,0.6875,301.6941609,943
0.6875,0.5625,185.9344144,0.75,0.625,231.9926203,0.625,0.625,207.3549507,1252
0.875,0.75,329.6647764,0.75,0.75,283.2534594,0.875,0.625,228.6656617,2363
0.009765625,0.658203125,-62.26432356,0.01171875,0.65625,-75.52605008,0.01171875,0.66015625,-81.7746581,13
0.013671875,0.658203125,-210.0028152,0.01171875,0.65625,-75.52605008,0.01171875,0.66015625,-81.7746581,0
0.013671875,0.658203125,-210.0028152,0.015625,0.65625,-108.2981112,0.01171875,0.65625,-75.52605008,4
0.013671875,0.654296875,-113.7051193,0.015625,0.65625,-108.2981112,0.01171875,0.65625,-75.52605008,9
0.01171875,0.654296875,-155.3271779,0.009765625,0.654296875,-80.9330582,0.01171875,0.65625,-75.52605008,5
0.01171875,0.654296875,-155.3271779,0.01171875,0.65234375,-119.1121274,0.009765625,0.654296875,-80.9330582,2
0.017578125,0.658203125,-128.7517871,0.015625,0.65625,-108.2981112,0.015625,0.66015625,-116.4334019,7
0.025390625,0.658203125,-198.8032245,0.0234375,0.66015625,-188.6379447,0.02734375,0.66015625,-214.7495851,26
0.025390625,0.658203125,-198.8032245,0.0234375,0.65625,-417.2175075,0.0234375,0.66015625,-188.6379447,8
0.021484375,0.662109375,-144.5313594,0.01953125,0.6640625,-157.3407538,0.0234375,0.6640625,-190.1128148,18
0.021484375,0.662109375,-144.5313594,0.01953125,0.66015625,-149.205463,0.01953125,0.6640625,-157.3407538,0
0.0185546875,0.6552734375,-256.3956556,0.01953125,0.654296875,-223.7070294,0.017578125,0.654296875,-250.0503977,0
0.0185546875,0.6552734375,-256.3956556,0.01953125,0.65625,-262.7578093,0.01953125,0.654296875,-223.7070294,34
0.009765625,0.65625,-99.54155706,0.009765625,0.658203125,-62.26432356,0.0078125,0.65625,-42.75398901,2
0.009765625,0.65625,-99.54155706,0.01171875,0.65625,-75.52605008,0.009765625,0.658203125,-62.26432356,1
0,0.576171875,-154.5834295,0.001953125,0.576171875,-381.1778577,0,0.578125,-354.6699726,24
0.25,0.625,47.48188868,0.25,0.75,-158.3660417,0.375,0.625,67.82649514,4
0.25,0.875,-20.18059239,0.375,0.875,0.6314129998,0.25,1,118.0048569,0
0.3125,0.5625,47.93175274,0.25,0.625,47.48188868,0.375,0.625,67.82649514,5
0.25,0.875,-20.18059239,0.25,0.75,-158.3660417,0.375,0.875,0.6314129998,0
0.015625,0.6171875,-322.1203842,0.0234375,0.6171875,-310.6372207,0.015625,0.625,-299.365653,7
0.015625,0.6171875,-322.1203842,0.015625,0.609375,-344.8751154,0.0234375,0.6171875,-310.6372207,19
0.0234375,0.609375,-353.5442844,0.0234375,0.6171875,-310.6372207,0.03125,0.609375,-362.2134534,3
0.0234375,0.609375,-353.5442844,0.015625,0.609375,-344.8751154,0.0234375,0.6171875,-310.6372207,6
0.03125,0.453125,-428.3990099,0.046875,0.453125,-379.1308067,0.03125,0.4375,-766.9112599,5
0.03125,0.453125,-428.3990099,0.03125,0.46875,-420.0898005,0.046875,0.453125,-379.1308067,1
0.046875,0.46875,-287.8301226,0.046875,0.453125,-379.1308067,0.0625,0.46875,-1200,10
0.046875,0.46875,-287.8301226,0.03125,0.46875,-420.0898005,0.046875,0.453125,-379.1308067,0
0.0078125,0.609375,-277.327008,0.0078125,0.6171875,-272.5365802,0,0.609375,308.0239446,2
0.0078125,0.609375,-277.327008,0.015625,0.609375,-344.8751154,0.0078125,0.6171875,-272.5365802,10
0.046875,0.6015625,-279.320483,0.046875,0.609375,-268.3136515,0.0390625,0.6015625,-292.5868991,77
0.0390625,0.6015625,-292.5868991,0.046875,0.609375,-268.3136515,0.03125,0.609375,-362.2134534,122
0.03125,0.609375,-362.2134534,0.046875,0.609375,-268.3136515,0.03125,0.625,-272.8328208,34
0.09375,0.5625,-158.0239498,0.09375,0.59375,-210.7288178,0.125,0.5625,-123.6554152,174
0.09375,0.625,-166.7014921,0.125,0.625,-113.6358277,0.09375,0.59375,-210.7288178,226
0.015625,0.6171875,-322.1203842,0.015625,0.609375,-344.8751154,0.0078125,0.6171875,-272.5365802,6
0.0625,0.59375,-263.7944822,0.0625,0.5625,-307.821808,0.09375,0.59375,-210.7288178,188
0.09375,0.5625,-158.0239498,0.0625,0.5625,-307.821808,0.09375,0.59375,-210.7288178,93
0.0234375,0.6171875,-310.6372207,0.03125,0.625,-272.8328208,0.015625,0.625,-299.365653,22
0.0078125,0.625,-94.26586474,0.0078125,0.6171875,-272.5365802,0,0.625,-325.8984852,5
0.02734375,0.64453125,-258.561988,0.03125,0.640625,-256.1095881,0.0234375,0.640625,-269.3760042,42
0.01953125,0.640625,-276.0092123,0.01953125,0.63671875,-190.981247,0.0234375,0.640625,-269.3760042,6
0.0078125,0.7421875,153.634763,0,0.734375,46.01192541,0.015625,0.734375,107.3021372,1
0.0078125,0.7421875,153.634763,0,0.75,-192.1126236,0,0.734375,46.01192541,0
0.001953125,0.595703125,-301.4417228,0,0.59765625,21.69708365,0.00390625,0.59765625,-307.496637,5
0.02734375,0.58984375,-364.5075823,0.03125,0.5859375,-346.5993264,0.03125,0.59375,-316.8601466,54
0.02734375,0.58984375,-364.5075823,0.0234375,0.5859375,-412.155018,0.03125,0.5859375,-346.5993264,11
0.03125,0.5859375,-346.5993264,0.0390625,0.5859375,-314.6005619,0.03125,0.578125,-376.3385062,21
