mode,seed,total_gate_admissions,admissions_in_certified_window,deep_admissions_in_certified_window,deep_faces_in_certified_window,nonquadratic_rms_in_window_centi_logodds,outside_centered_rmse_centi_logodds,outside_weighted_correlation,outside_weighted_slope,final_faces,runtime_seconds
baseline_q10,0,129,3,0,57,6.722333013624436,12.767240059632355,0.9924355353278935,0.9570205238582286,1298,7.45
baseline_q10,1,162,18,0,142,3.521030209789759,14.375197554594102,0.9906218886652028,0.9443288253953434,1338,7.15
baseline_q10,2,66,6,0,41,3.573149692283981,9.53674269834598,0.9963992429888131,0.9539235455709147,633,5.74
baseline_q10,3,126,9,0,93,6.737355996865575,17.892683561244798,0.9844746322568313,0.9624466362090949,1049,8.92
baseline_q10,4,67,5,0,36,2.905311272294609,12.800155974539683,0.9927591866808797,0.9471555247964483,610,5.7
perm_bh_k05_q10,0,9,0,0,0,6.686255131056308,12.649999622880028,0.9927983288111331,0.952355292634523,162,4.31
perm_bh_k05_q10,1,13,0,0,0,2.461894248160455,14.136041267643112,0.9914047013255185,0.9370980512667707,180,4.3
perm_bh_k05_q10,2,27,0,0,0,2.44368918935915,11.143186305572842,0.994943372513176,0.9481805555437864,255,5.09
perm_bh_k05_q10,3,37,0,0,0,4.080191246817569,15.326225885594626,0.9888659641065516,0.9572590055174169,293,5.28
perm_bh_k05_q10,4,40,2,0,8,6.204180269089685,14.753611739979997,0.9902031988719247,0.9415790276397498,268,5.19
perm_bh_k05_q20,0,30,0,0,0,6.672860813961745,10.782490060930396,0.9948110680026908,0.9587118364823598,315,5.76
perm_bh_k05_q20,1,22,0,0,0,2.4610672099323057,14.086727091656769,0.9914683598192088,0.937270924748159,220,6.07
perm_bh_k05_q20,2,42,1,0,8,2.4306631270264574,11.14383073061541,0.9949452996826392,0.9481256302934883,317,5.28
perm_bh_k05_q20,3,63,0,0,0,4.166127565972716,17.36377318330234,0.9855100391305002,0.957280941814069,385,5.58
perm_bh_k05_q20,4,65,2,0,8,6.43102533550578,15.144253153553162,0.9895422426942138,0.9427983628485673,397,5.38
perm_bh_k4_q10,0,13,0,0,0,6.684744315003716,12.000890270819253,0.9935391987226387,0.9543938296768261,188,4.3
perm_bh_k4_q10,1,10,0,0,0,2.460532557405342,14.132350391036189,0.9914069380024021,0.9371505968338059,180,4.05
perm_bh_k4_q10,2,20,0,0,0,2.4436581378486824,11.032267257142074,0.995060107127101,0.9484614070641041,263,4.51
perm_bh_k4_q10,3,25,0,0,0,4.080757385264044,15.317148152795795,0.988891802470603,0.9570266876283886,322,5.15
perm_bh_k4_q10,4,26,1,0,8,2.798036854848488,13.339176698029782,0.9922503357392842,0.9425862415940982,269,5.06
perm_bh_k4_q20,0,21,0,0,0,6.67800846242374,12.276419272759313,0.9931635050722014,0.9550324073189893,242,4.95
perm_bh_k4_q20,1,30,0,0,0,2.4404871381184114,13.391220623227968,0.9923265891286412,0.9399140936957416,273,4.45
perm_bh_k4_q20,2,22,0,0,2,2.443576152946709,11.038684953260201,0.9950517611319365,0.9484743151554036,270,5.23
perm_bh_k4_q20,3,41,0,0,0,4.044199057972224,15.607015857957004,0.9884422329896722,0.9567127338962782,464,5.65
perm_bh_k4_q20,4,36,1,0,2,5.286751451267027,13.595907155196521,0.9919290049494062,0.9417747864315914,357,5.05
