seed,rows,total_exposure,pooled_rate,wide_count,wide_share,sample_mean_u,sample_var_u,core_var,wide_var,total_target_var,wide_weight,variance_ratio
0,120595,47566402,0.7731596978892791,12227,0.1013889464737344,-0.0021356613238286,0.3477215173893617,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
1,120595,47566402,0.7720280377733847,12018,0.099655872963224,0.0012717441959343,0.345741228906483,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
2,120595,47566402,0.7718142734445208,11839,0.0981715659853227,-0.0001233677617309,0.3435992395677036,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
3,120595,47566402,0.7724666456798646,12169,0.1009079978440233,-0.0009674082303781,0.3541049810885113,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
4,120595,47566402,0.7726379640822949,12222,0.1013474853849662,-0.0002668507221027,0.354802894442453,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
5,120595,47566402,0.7703663396697527,12140,0.1006675235291678,0.0003070507636106,0.3519010664941505,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
6,120595,47566402,0.7748625805247998,12103,0.1003607114722832,0.0020269617638864,0.350665756989486,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
7,120595,47566402,0.7721502879280211,12129,0.1005763091338778,0.0006368429649721,0.3473651088402809,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
8,120595,47566402,0.7722022784065106,11972,0.0992744309465566,0.0013653178615831,0.353102500124556,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
9,120595,47566402,0.7692366136921602,12049,0.0999129317135868,-0.001285750024751,0.3533188203777622,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
10,120595,47566402,0.7706775046807198,12087,0.100228035988225,-0.0022932585893219,0.3516066345376151,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
11,120595,47566402,0.7680710430862524,12037,0.0998134251005431,-3.350882701101968e-05,0.3528494474188003,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
12,120595,47566402,0.7667641962913234,11982,0.099357353124093,0.0009598713944914,0.3489790974414095,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
13,120595,47566402,0.768841776176386,12101,0.1003441270367759,-0.000240272345225,0.3490445122660963,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
14,120595,47566402,0.7762328754653337,12022,0.0996890418342385,0.0002941730894177,0.3474020151819548,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
15,120595,47566402,0.7709478846014042,12253,0.1016045441353289,-0.0026501323485671,0.3516051466265015,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
16,120595,47566402,0.7693898941525995,12132,0.1006011857871387,0.0027819457695922,0.3528937262845388,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
17,120595,47566402,0.772716864311074,12113,0.1004436336498196,-4.5602291883603016e-05,0.3537821350289324,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
18,120595,47566402,0.7749975707643391,12110,0.1004187569965587,0.0015930781583289,0.3533150695885103,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
19,120595,47566402,0.7737713481040672,12162,0.1008499523197479,0.0001173736240747,0.3478078021204775,0.1842105263157894,1.8421052631578947,0.35,0.1,10.0
