mode,label,seed,total_admissions,window_admissions,deep_window_admissions,deep_window_faces,window_nonquadratic_rms_centi_logodds,outside_centered_rmse_centi_logodds,outside_weighted_correlation,outside_weighted_slope,final_faces,runtime_seconds
baseline_q10,"Shipped gate, q=.10",0,95,3,0,23,4.703097435079263,14.469446073054975,0.9901992657266185,0.9522947268611435,879,15.22
baseline_q10,"Shipped gate, q=.10",1,58,6,0,32,3.649240981932078,10.840072034404317,0.9956453144957962,0.9407255055362435,576,6.76
baseline_q10,"Shipped gate, q=.10",2,140,3,0,53,6.69212630399666,18.964545547683308,0.9828114033234628,0.9389900487325186,1076,16.82
baseline_q10,"Shipped gate, q=.10",3,234,4,0,71,2.711456121304894,18.137792762582027,0.9843717671851757,0.9437032038453567,1991,14.58
baseline_q10,"Shipped gate, q=.10",4,63,2,0,12,4.84688314822702,12.857877610745321,0.9933966253557135,0.9350887002528316,611,24.21
baseline_q10,"Shipped gate, q=.10",5,153,46,13,315,38.65123616126394,12.992318913521936,0.9919590983099944,0.9646631175510372,1292,19.02
baseline_q10,"Shipped gate, q=.10",6,265,20,0,185,18.155952648846363,20.64195159408318,0.9797514331613336,0.9238866097491678,2415,
baseline_q10,"Shipped gate, q=.10",7,121,1,0,19,3.1243141535506855,16.741215967364063,0.9864568776769584,0.9590532330096175,854,20.66
baseline_q10,"Shipped gate, q=.10",8,244,43,14,218,11.928761993770276,16.72429547649707,0.9867281588056657,0.9475967148462928,1967,22.36
baseline_q10,"Shipped gate, q=.10",9,177,7,0,55,12.238005420481224,19.19714411847308,0.9818914724618028,0.9529671536996036,1548,22.24
baseline_q10,"Shipped gate, q=.10",10,129,3,0,47,3.106942648059001,11.364285605273235,0.9937993716477032,0.9735780040815615,1338,14.03
baseline_q10,"Shipped gate, q=.10",11,40,0,0,3,3.3049351001271887,12.706484229071553,0.9925393048233312,0.9561080052597862,478,17.81
baseline_q10,"Shipped gate, q=.10",12,280,39,10,350,42.618722664346244,19.871994735717912,0.980491308639549,0.9572453122030072,2719,30.34
baseline_q10,"Shipped gate, q=.10",13,300,18,4,222,25.717420712878837,19.79128812791617,0.981471838787142,0.9328194459442203,2951,19.68
baseline_q10,"Shipped gate, q=.10",14,82,0,0,7,1.9107926605403156,14.461232612887475,0.9914946927252996,0.9268614612576445,851,27.9
baseline_q10,"Shipped gate, q=.10",15,187,5,0,52,5.045808334303969,18.355992304226923,0.9837943277177936,0.9426840821001079,1626,14.06
baseline_q10,"Shipped gate, q=.10",16,114,31,7,203,12.025360428730995,16.771838703671897,0.988748578517013,0.910006480582717,1002,8.07
baseline_q10,"Shipped gate, q=.10",17,107,3,0,25,5.640782082831077,13.768071702826118,0.9914305953664416,0.9463317004403382,807,10.05
baseline_q10,"Shipped gate, q=.10",18,314,22,3,279,8.901706202990415,20.04773096101329,0.9815575436163544,0.918583545302977,3349,18.5
baseline_q10,"Shipped gate, q=.10",19,209,12,3,146,7.597095933034171,19.47365721603617,0.9822099151227349,0.9284856630551251,2063,15.37
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",0,0,0,0,0,4.325983723037806,15.812185380218919,0.9885718715247033,0.9421768723344122,128,4.77
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",1,0,0,0,0,3.0280821527660824,13.944104359548126,0.9922970861907592,0.9294983997709367,128,4.09
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",2,9,0,0,0,2.9717331197509895,13.893716893012595,0.9916471157248291,0.9402763173875005,184,6.98
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",3,6,0,0,0,2.0469656459797503,12.499363185143496,0.9935691980926626,0.9417149863604135,151,4.81
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",4,7,0,0,0,4.49977094121773,13.972223187482014,0.9923132571624236,0.927604398720698,154,5.75
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",5,12,0,0,0,4.287776206182557,11.958815342205783,0.9934588040999291,0.9590785616761812,172,11.81
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",6,1,0,0,0,3.346971992410425,18.332847697002922,0.9855723068513295,0.9116903652323557,130,8.42
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",7,6,0,0,0,3.0717356648188066,15.390529835640347,0.9890462226591262,0.9508020674109395,167,12.03
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",8,5,0,0,0,3.1312620092080325,12.948499927544018,0.9927667835223012,0.9450437222883921,151,9.41
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",9,13,0,0,0,4.166496215468574,18.112757083163228,0.9840792848160411,0.9501638311301651,173,11.36
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",10,3,0,0,0,2.3478543230162945,10.90910915617049,0.9945068057205428,0.9660416049675751,139,8.78
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",11,0,0,0,0,3.7504942644846944,14.38302061884582,0.9907238065817988,0.9440909305268642,128,8.54
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",12,0,0,0,0,1.8904051715678505,14.730643260388574,0.9900002429294958,0.9489039959997966,128,10.96
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",13,13,0,0,0,2.472223816776484,14.663580764326413,0.9914767512176963,0.9236303496924892,185,5.35
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",14,6,0,0,0,1.581006185380661,15.606477882852355,0.9900317897869055,0.9219761717030169,152,6.96
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",15,0,0,0,0,4.356928700108571,14.876809899792274,0.9904554713991854,0.9346062006042305,128,5.9
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",16,0,0,0,0,3.059599315172626,17.185477677064572,0.9891479423192203,0.8985388288574897,128,3.08
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",17,0,0,0,0,3.955721867196913,14.677325606069855,0.99066071591002,0.9362831790129712,128,3.09
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",18,9,0,0,0,4.628659772549511,14.953163020259352,0.9913076944115856,0.9207702688367372,158,4.73
perm_bh_k05_q10,"Permutation BH, K_eff≥.5, q=.10",19,4,0,0,0,4.679037206722714,15.769766561867634,0.9891950548219911,0.9302771692884875,141,4.93
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",0,1,0,0,0,4.325987840266417,14.80396029200806,0.9899667481714826,0.9463759481329451,131,5.1
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",1,1,0,0,0,3.027499935480958,12.727793219733131,0.9937217706200873,0.9337948134177806,131,3.99
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",2,9,0,0,0,2.9734765839172805,13.872483119293761,0.9916773067635188,0.9403018686068554,188,8.31
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",3,5,0,0,0,2.0472134407196307,12.498265846304673,0.9935708011961629,0.9417127032168008,155,4.68
