active,calibration_rounds,candidate_opportunities,condition,deep_faces_global,faces,gate_admissions,gate_deep_window,gate_window,global_spatial_rms_centi,lindsey_fallbacks,lindsey_statuses,lindsey_valid_rounds,max_rounds,methods,mode,parent_scale,round_admitted_prefix,runtime,seed,stages,vertices,window_deep_faces,window_faces,window_nonquad_rms_centi
81,6,750,flat_p78_gauss_equaln,0,128,0,0,0,1.794872804669537,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.1,0,3,289,0,6,0.5476958878511932
143,6,830,flat_p78_corr05,112,251,21,0,1,9.212571919015028,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,23,2.05,2,3,536,4,11,7.679462056942067
81,6,624,flat_p78_heavytail,0,128,0,0,0,7.802379914737215,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.16,3,3,289,0,6,2.4684107205922103
81,6,624,flat_p78_clean,0,128,0,0,0,0.41005485459910906,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.72,3,3,289,0,6,0.100342541371235
81,6,624,flat_p78_corr05,0,128,0,0,0,7.600015063356225,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.22,2,3,289,0,6,2.515142485336807
101,6,833,flat_p78_clean,36,168,7,0,0,0.3951430403229139,4,"{""nonconverged"": 4, ""valid"": 2}",2,3,"{""BH-fallback"": 4, ""lindsey"": 2}",baseline,0.25,7,2.42,3,3,369,0,8,0.10131258139462797
92,6,805,flat_p97_clean,14,149,4,0,0,0.23445089902633673,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,9,2.28,3,3,332,0,6,0.05328060744759957
81,6,624,flat_p78_corr01,0,128,0,0,0,7.35562918339703,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.58,2,3,289,0,6,2.260267235381941
90,6,786,flat_p97_clean,12,146,3,0,0,0.1077907093335413,5,"{""nonconverged"": 5, ""valid"": 1}",1,3,"{""BH-fallback"": 5, ""lindsey"": 1}",baseline,0.25,3,2.3,1,3,325,0,6,0.02415064980829163
81,6,609,flat_p97_clean,0,128,0,0,0,0.8464323838350626,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,1.89,2,3,289,0,6,0.28411363161197056
154,6,915,flat_p78_gauss,136,271,24,0,1,7.424308560051238,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,33,1.82,4,3,578,2,11,1.960972185036988
105,6,913,flat_p78_heavytail,40,176,9,0,0,13.595311219171393,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,25,2.62,0,3,385,0,6,3.9782434301349126
95,6,792,flat_p78_clean,18,155,5,0,0,0.16434886422739087,2,"{""nonconverged"": 2, ""valid"": 4}",4,3,"{""BH-fallback"": 2, ""lindsey"": 4}",baseline,0.25,5,2.02,0,3,344,0,6,0.01772515003193679
81,6,624,flat_p78_corr05,0,128,0,0,0,8.855539970446118,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.13,0,3,289,0,6,3.3498702999308048
81,6,624,flat_p78_gauss,0,128,0,0,0,7.23216510040178,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.16,2,3,289,0,6,2.289815360106665
81,6,627,flat_p50_clean,0,128,0,0,0,0.3547158950884315,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.21,4,3,289,0,6,0.06238818119537306
97,6,832,flat_p78_clean,20,158,6,0,0,0.16494749532783512,4,"{""nonconverged"": 4, ""valid"": 2}",2,3,"{""BH-fallback"": 4, ""lindsey"": 2}",baseline,0.25,7,2.35,4,3,351,0,6,0.031275024601427906
84,6,656,flat_p78_gauss,4,134,0,0,0,10.830419925202248,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,3,2.05,3,3,301,1,8,7.317156179991173
83,6,621,flat_p97_clean,2,131,0,0,0,0.8562954828715404,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,2,2.11,0,3,296,0,6,0.21486410085938862
81,6,624,flat_p78_clean,0,128,0,0,0,0.3764348468462157,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.01,2,3,289,0,6,0.27232880653014907
127,6,899,flat_p78_heavytail,76,216,14,0,0,6.71236225244068,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,24,1.8,1,3,469,0,6,2.022893489158081
81,6,624,flat_p78_corr01,0,128,0,0,0,8.717603764086848,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.32,0,3,289,0,6,3.1948119236374986
81,6,624,flat_p78_clean,0,128,0,0,0,0.3689869254687542,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.07,1,3,289,0,6,0.21264196987925743
81,6,627,flat_p50_clean,0,128,0,0,0,0.3361767649506624,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.38,2,3,289,0,6,0.10808248570961701
263,6,793,flat_p78_clean,414,479,158,0,12,0.21445908508184278,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,162,2.12,2,3,1004,25,25,0.12270151087273247
112,6,859,flat_p50_clean,50,190,11,0,0,0.2233582126788648,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,11,2.34,0,3,413,0,8,0.062669888104363
101,6,838,flat_p97_clean,32,167,7,0,0,0.1374871211739078,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,8,2.37,4,3,368,0,6,0.017207238848857827
98,6,802,flat_p97_clean,30,162,6,0,0,0.2363460667778675,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,7,1.86,2,3,357,0,6,0.02853415478991365
81,6,624,flat_p78_clean,0,128,0,0,0,0.3799656869196695,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,1.9,0,3,289,0,6,0.0876117476691504
124,6,839,flat_p78_gauss,79,211,15,0,0,8.59597887296375,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,23,2.07,0,3,458,0,8,3.0052459409453056
169,6,876,flat_p78_corr05,174,303,22,0,0,9.324940347670937,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,30,1.77,1,3,640,2,11,6.301911242477124
133,6,902,flat_p78_gauss,94,229,17,0,0,11.742127131368198,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,28,2.07,3,3,494,0,6,8.305880824891744
153,6,893,flat_p78_heavytail,146,271,24,0,0,10.696914073911415,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,37,1.9,4,3,576,1,8,6.150983548102596
81,6,750,flat_p78_gauss_equaln,0,128,0,0,0,1.422021501239119,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.17,1,3,289,0,6,0.2506816142324585
89,6,794,flat_p50_clean,10,143,3,0,0,0.13255599655035719,2,"{""nonconverged"": 2, ""valid"": 4}",4,3,"{""BH-fallback"": 2, ""lindsey"": 4}",baseline,0.25,3,2.06,3,3,320,0,6,0.0552525623094483
81,6,624,flat_p78_heavytail,0,128,0,0,0,6.192443149297433,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,1.98,2,3,289,0,6,1.501368752236768
81,6,624,flat_p78_corr05,0,128,0,0,0,9.232206757085844,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.16,1,3,289,0,6,6.302938436928607
132,6,837,flat_p78_corr05,93,227,18,0,0,8.97095478370703,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,26,1.76,0,3,490,3,12,3.3666037196829515
116,6,835,flat_p97_clean,62,196,14,0,0,0.7457325519658465,3,"{""nonconverged"": 3, ""valid"": 3}",3,3,"{""BH-fallback"": 3, ""lindsey"": 3}",baseline,0.25,14,2.42,0,3,427,0,6,0.17641650924888452
81,6,627,flat_p50_clean,0,128,0,0,0,0.3136356936450268,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.56,0,3,289,0,6,0.07389055441866853
92,6,814,flat_p50_clean,14,149,4,0,0,0.1778225826956629,2,"{""nonconverged"": 2, ""valid"": 4}",4,3,"{""BH-fallback"": 2, ""lindsey"": 4}",baseline,0.25,8,2.47,2,3,332,0,6,0.043163556494136425
81,6,624,flat_p78_clean,0,128,0,0,0,0.34517868267537305,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.47,4,3,289,0,6,0.0936393612343515
81,6,624,flat_p78_corr01,0,128,0,0,0,9.451050418216653,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.65,1,3,289,0,6,6.47294450550978
81,6,624,flat_p78_heavytail,0,128,0,0,0,13.736394484884507,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.25,0,3,289,0,6,4.072212433580838
81,6,750,flat_p78_gauss_equaln,0,128,0,0,0,1.4498890740137569,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.04,2,3,289,0,6,0.3532701197126555
81,6,624,flat_p78_heavytail,0,128,0,0,0,8.399067263180907,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.13,4,3,289,0,6,6.265201118496188
81,6,624,flat_p78_gauss,0,128,0,0,0,6.719999189632355,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.29,4,3,289,0,6,1.6710432761071727
81,6,624,flat_p78_gauss,0,128,0,0,0,8.510371222981625,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.12,0,3,289,0,6,2.941879778544071
131,6,864,flat_p78_gauss_equaln,92,226,18,0,0,1.713559641268217,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,21,1.62,2,3,487,2,9,0.5976977378048518
123,6,817,flat_p78_heavytail,82,210,15,0,1,8.36424839878013,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,16,1.74,2,3,455,5,12,8.227192965382118
158,6,928,flat_p78_gauss_equaln,158,281,23,0,1,2.2552787880678014,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,23,1.93,0,3,596,4,12,0.8606128824366616
81,6,609,flat_p97_clean,0,128,0,0,0,0.8926066221997677,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.52,4,3,289,0,6,0.18326776430689404
187,6,911,flat_p78_corr01,213,338,27,0,2,9.021387759527864,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,35,1.9,0,3,711,14,21,4.437202740320788
106,6,824,flat_p78_clean,36,176,9,0,1,0.3228629855544675,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,15,2.14,1,3,387,2,9,0.17412034424865414
81,6,624,flat_p78_gauss,0,128,0,0,0,9.636195821303092,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.01,1,3,289,0,6,6.668002213810132
81,6,627,flat_p50_clean,0,128,0,0,0,0.3127417659639202,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.47,3,3,289,0,6,0.1642646990092401
81,6,609,flat_p97_clean,0,128,0,0,0,0.7996322672804087,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.1,3,3,289,0,6,0.23912216477089815
146,6,883,flat_p78_corr01,128,257,18,0,0,9.469003144316792,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,26,2.39,1,3,548,0,8,6.469252023649226
81,6,609,flat_p97_clean,0,128,0,0,0,0.8904664065522254,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.4,1,3,289,0,6,0.29689278039804473
