condition,mode,n,mean_false_admissions,median_false_admissions,max_false_admissions,probability_any_admission,mean_faces,mean_spatial_rms_centi,mean_runtime_seconds
flat_p50_clean,baseline,5,5.2,4.0,11,1.0,157.8,0.19773749808980537,2.31
flat_p50_clean,baseline_k4,5,70.2,5.0,224,1.0,305.0,0.19713150934427034,1.8579999999999999
flat_p50_clean,perm_bh_k05,5,0.0,0.0,0,0.0,128.0,0.3211551001926504,2.112
flat_p50_clean,perm_bh,5,0.0,0.0,0,0.0,128.0,0.3211551001926504,2.414
flat_p78_clean,baseline,5,37.0,7.0,158,1.0,227.2,0.25235229410289006,2.21
flat_p78_clean,baseline_k4,5,30.6,8.0,117,1.0,220.2,0.23688314941718538,2.248
flat_p78_clean,perm_bh_k05,5,0.0,0.0,0,0.0,128.0,0.3761241993018242,2.3899999999999997
flat_p78_clean,perm_bh,5,0.0,0.0,0,0.0,128.0,0.3761241993018243,2.234
flat_p78_corr01,baseline,3,20.666666666666668,18.0,27,1.0,276.0,8.809119967502712,2.28
flat_p78_corr01,baseline_k4,3,10.0,12.0,15,1.0,195.66666666666666,7.485944852239252,1.9100000000000001
flat_p78_corr01,perm_bh_k05,3,0.0,0.0,0,0.0,128.0,8.50809445523351,2.183333333333333
flat_p78_corr01,perm_bh,3,0.0,0.0,0,0.0,128.0,8.508094455233511,2.5166666666666666
flat_p78_corr05,baseline,3,20.333333333333332,21.0,22,1.0,260.3333333333333,9.169489016797664,1.86
flat_p78_corr05,baseline_k4,3,14.333333333333334,16.0,16,1.0,231.33333333333334,8.639099757242123,1.97
flat_p78_corr05,perm_bh_k05,3,0.0,0.0,0,0.0,128.0,8.562587263629396,2.2933333333333334
flat_p78_corr05,perm_bh,3,0.0,0.0,0,0.0,128.0,8.562587263629396,2.17
flat_p78_gauss,baseline,5,16.0,17.0,24,1.0,223.0,8.952858132346353,1.9600000000000002
flat_p78_gauss,baseline_k4,5,32.2,13.0,125,1.0,229.8,8.18245605978059,2.028
flat_p78_gauss,perm_bh_k05,5,0.2,0.0,1,0.2,129.2,9.107950815937661,2.252
flat_p78_gauss,perm_bh,5,0.0,0.0,0,0.0,129.2,8.58583025190422,2.126
flat_p78_gauss_equaln,baseline,3,18.333333333333332,18.0,23,1.0,246.33333333333334,1.8574210313169484,1.7166666666666668
flat_p78_gauss_equaln,baseline_k4,3,18.333333333333332,18.0,23,1.0,246.33333333333334,1.857421031316948,1.9333333333333333
flat_p78_gauss_equaln,perm_bh_k05,3,0.0,0.0,0,0.0,128.0,1.5555944599741378,2.3533333333333335
flat_p78_gauss_equaln,perm_bh,3,0.0,0.0,0,0.0,128.0,1.5555944599741378,2.1033333333333335
flat_p78_heavytail,baseline,5,18.4,15.0,30,1.0,235.0,10.389094365126734,1.9760000000000002
flat_p78_heavytail,baseline_k4,5,14.4,13.0,22,1.0,212.2,8.579523872285987,1.818
flat_p78_heavytail,perm_bh_k05,5,0.0,0.0,0,0.0,128.0,8.493042676017842,2.09
flat_p78_heavytail,perm_bh,5,0.0,0.0,0,0.0,128.0,8.493042676017849,2.122
flat_p97_clean,baseline,5,6.8,6.0,14,1.0,164.0,0.2923614696555,2.246
flat_p97_clean,baseline_k4,5,25.8,5.0,111,1.0,202.2,0.3553322385862462,2.098
flat_p97_clean,perm_bh_k05,5,0.0,0.0,0,0.0,128.0,0.8570858871228386,2.2800000000000002
flat_p97_clean,perm_bh,5,0.0,0.0,0,0.0,128.6,0.8570866325478009,2.2039999999999997
