analysis,mode,label,seed,heldout_pools,deviance_per_pool,x2_per_information,admitted_coefficients,final_faces,max_active_depth,runtime_seconds
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",1,60018,6.611975041617714,0.15408816145431423,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",2,59974,6.160413916642366,0.1378589884450797,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",3,60055,6.740039978008262,0.15630896558414908,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",4,60059,6.552406806360088,0.15413862127837794,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",5,60053,6.599553909292292,0.15340614770706038,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",6,60095,6.799946160517831,0.16610024736314324,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",7,60115,6.404404994676119,0.14285675543264748,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",8,60063,6.9494170566420355,0.15704924698316838,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",9,60072,6.561147343911537,0.14689771351090572,,,,
"Existing fit, rescore without WALA 0",baseline_q10,"Shipped gate, q=.10",10,60029,6.14816853388925,0.13909740682942046,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",1,60018,6.972248764458416,0.16148389724420534,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",2,59974,6.490387721537049,0.14446086520943444,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",3,60055,7.231220849937936,0.1659105942353396,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",4,60059,6.873569094257322,0.16139226603255086,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",5,60053,6.816912035116294,0.1564558962108912,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",6,60095,7.040388807028529,0.1593010809090142,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",7,60115,6.649294635825957,0.1474561473723394,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",8,60063,7.146515258205436,0.16151573841681433,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",9,60072,6.886092128011356,0.15339930356035186,,,,
"Existing fit, rescore without WALA 0",perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",10,60029,6.566300470712215,0.1536682908682034,,,,
