wala_band,total_deviance_difference,heldout_records,mean_difference_per_pool,label
"[1, 3)",44602.24932758297,4841,9.213437167441224,"[1, 3)"
"[3, 6)",24658.825389419737,9479,2.601416329720407,"[3, 6)"
"[6, 9)",15163.960054584784,10093,1.5024234672133938,"[6, 9)"
"[9, 12)",8437.581149033296,10368,0.8138099102076868,"[9, 12)"
"[12, 18)",4378.3007923901605,14577,0.3003567807086616,"[12, 18)"
"[18, 24)",18251.412058705366,13935,1.3097532873129074,"[18, 24)"
"[24, 30)",8121.9653098647,11757,0.6908195381359786,"[24, 30)"
"[30, 60)",30356.96999738025,66361,0.4574519672304554,"[30, 60)"
"[60, 90)",4982.14671087115,82924,0.060080877802218303,"[60, 90)"
"[90, 120)",-602.8508995088503,56729,-0.010626855744131754,"[90, 120)"
"[120, 180)",-5207.827497894393,80012,-0.06508808051160317,"[120, 180)"
"[180, 240)",994.5282010203384,100596,0.009886359308723393,"[180, 240)"
"[240, 300)",8020.9876951515325,85571,0.09373488325661185,"[240, 300)"
"[300, 360)",26473.204802520337,53482,0.49499279762387977,"[300, 360)"
