id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
1637,0,0,-380.1569045,-380.1569045,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
1638,0,1,78.05215559,78.05215559,0,-1,-1,1,0,1,0,0,0,4.461722315e+14,0,1e+300,0,0,0,2,0,2.24128695e-15,0,0.00224128695
1639,1,0,22.71286645,22.71286645,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
1640,1,1,0,137.1063249,0,-1,-1,1,0,1,0,0,0,74.27836674,0,1e+300,0,0,0,82,42,0.01346287006,0.01346287005,4.181777748
1641,0.5,0.5,144.138082,144.138082,1,1637,1640,1,0,1,0,0,1,0.4267697725,312.4247443,5.466460047,0.0001245265124,0,0,3989,3989,2.34318376,2.34318376,28.7748945
1642,0,0.5,-573.8029899,-573.8029899,1,1638,1637,1,0,1,0,0,0,1.137835929,-615.8184126,15.35418033,0.0001245265124,0,0,3876,3876,0.8788613317,0.8788613317,8.21835112
1643,0.5,1,219.9145784,219.9145784,1,1640,1638,1,0,1,0,0,0,97626.43371,202.0142674,69.99660943,0.0001,0,0,1,1,1.024312742e-05,1.024312742e-05,0.02658960352
1644,0.5,0,-19.48789557,-19.48789557,1,1639,1637,1,0,1,0,0,0,209.6678602,156.8244597,204.3328903,0.0001245265124,0,0,23,23,0.004769448207,0.004769448207,0.9644717625
1645,1,0.5,240.3533398,240.3533398,1,1640,1639,1,0,1,0,0,0,2788.040746,-57.31066594,1260.120418,2.182714527e-05,0,0,32,32,0.0003586748154,0.0003586748154,1.67406409
1646,0.25,0.25,5.520778192,5.520778192,2,1637,1641,1,0,1,0,0,1,0.08850202841,123.5373773,0.08850105304,0.0001245265124,0,0,15075,15075,11.29917605,11.29917605,32.39554114
1647,0.25,0.75,-142.5757591,-142.5757591,2,1641,1638,1,0,1,0,0,1,5427.827784,0,0,0,0,0,12,12,0.0001842357643,0.0001842357643,0.1002675803
1648,0.75,0.75,234.8426319,234.8426319,2,1641,1640,1,0,1,0,0,1,114.9680275,241.4027444,1184.888552,0.0001245265124,0,0,633,633,0.008698070424,0.008698070424,0.7966406563
1649,0.75,0.25,-21.14708022,-21.14708022,2,1641,1639,1,0,1,0,0,1,1240.481237,-100.011223,1074.500181,0.0001245265124,0,0,12,12,0.0008061387553,0.0008061387553,1.487441054
1650,0,0.75,-32.99258352,-32.99258352,2,1638,1642,1,0,1,0,0,0,1.84696785,477.755464,44.8357088,0.0001245265124,0,0,2336,2336,0.5414279408,0.5414279408,9.228816623
1651,0.25,0.5,28.14171876,28.14171876,2,1642,1641,1,0,1,0,0,0,0.373050211,242.8885892,0.4394096636,0.0001245265124,0,0,4477,4477,2.680604301,2.680604301,24.21325137
1652,0,0.25,-848.5713649,-848.5713649,2,1642,1637,1,0,1,0,0,0,301.7783095,-2.372865207,16.51602129,2.182714527e-05,0,0,40,40,0.003313690774,0.003313690774,0.2722470693
1653,0.5,0.25,78.79077773,78.79077773,2,1644,1641,1,0,1,0,0,0,0.1849616042,16.43798601,0.1849573442,0.0001245265124,0,0,5907,5907,5.406527501,5.406527501,19.08688484
1654,0.25,0,-101.4963463,-101.4963463,2,1644,1637,1,0,1,0,0,0,1.499315967,98.30849758,1.49903609,0.0001245265124,0,0,486,486,0.6669708198,0.6669708198,1.180764391
1655,0.75,0,1.612485443,1.612485443,2,1639,1644,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
1656,0.75,1,450.8584039,450.8584039,2,1640,1643,1,0,1,0,0,0,312.142967,-2380.936546,147.417743,4.850432913e-05,0,0,184,184,0.0032036602,0.0032036602,0.3651454129
1657,0.5,0.75,191.5691369,191.5691369,2,1643,1641,1,0,1,0,0,0,167.6474023,-504.2158452,32.92701622,0.0001,0,0,354,354,0.005964900059,0.005964900059,1.782993176
1658,0.25,1,148.983367,148.983367,2,1643,1638,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
1659,0.75,0.5,145.3400993,145.3400993,2,1645,1641,1,0,1,0,0,0,2.043391904,-45.65757047,3.807847903,0.0001245265124,0,0,1252,1252,0.4893823832,0.4893823832,9.39372788
1660,1,0.25,131.5331031,131.5331031,2,1645,1639,1,0,0,0,1,0,6.412628122e+12,0,0,0,0,0,2,0,1.559423034e-13,0,0.1559423034
1661,1,0.75,343.3362591,343.3362591,2,1640,1645,1,0,1,0,0,0,306.8627162,198.1562858,473.2595093,0.0001245265124,0,0,149,149,0.003258786249,0.003258786249,1.798117408
