x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.96875,0.875,388.3546938,0.96875,0.90625,504.4281967,1,0.875,401.2698756,6
0.96875,0.875,388.3546938,0.9375,0.875,375.4395121,0.96875,0.90625,504.4281967,2
0.859375,0.640625,251.339301,0.84375,0.625,218.9979437,0.84375,0.65625,260.6980469,4
0.75,0.71875,274.8636671,0.78125,0.71875,276.0052216,0.75,0.6875,256.7718716,8
0.828125,0.734375,312.39223,0.8125,0.75,320.3933552,0.84375,0.75,319.7214937,1
0.796875,0.71875,276.785907,0.796875,0.734375,298.1992884,0.8125,0.71875,278.0451522,398
0.796875,0.765625,295.9806964,0.8125,0.75,320.3933552,0.8125,0.78125,333.9884558,11
0.96875,0.65625,305.8232049,1,0.625,261.1206632,1,0.6875,302.2284611,6
0.5,0.6875,115.0694763,0.4375,0.6875,133.3441396,0.5,0.75,191.5691369,3
0.5,0.6875,115.0694763,0.5,0.625,38.56981575,0.4375,0.6875,133.3441396,3
0.4375,0.625,56.84447901,0.4375,0.6875,133.3441396,0.5,0.625,38.56981575,8
0.4375,0.625,56.84447901,0.375,0.625,75.11914226,0.4375,0.6875,133.3441396,4
0.65625,0.71875,259.7432876,0.625,0.75,230.6467239,0.625,0.6875,177.7522639,368
0.59375,0.6875,213.158674,0.59375,0.65625,200.5807223,0.625,0.6875,177.7522639,8
0.59375,0.71875,194.0903855,0.625,0.75,230.6467239,0.625,0.6875,177.7522639,440
0.734375,0.578125,207.2421634,0.75,0.59375,186.9926267,0.71875,0.59375,221.9705002,238
0.765625,0.578125,187.0208431,0.75,0.59375,186.9926267,0.78125,0.59375,238.7419951,752
0.5,0.53125,117.7460154,0.53125,0.53125,132.1679638,0.5,0.5625,91.35394886,5
0.53125,0.5625,150.6975383,0.53125,0.53125,132.1679638,0.5,0.5625,91.35394886,6
0.65625,0.46875,132.7193678,0.625,0.4375,123.8239363,0.6875,0.4375,127.5492362,25
0.65625,0.46875,132.7193678,0.625,0.5,137.8894995,0.625,0.4375,123.8239363,10
0.625,0.4375,123.8239363,0.625,0.375,109.7583731,0.5625,0.4375,126.9482275,13
0.75,0.578125,237.513586,0.734375,0.578125,207.2421634,0.75,0.5625,192.5138266,14
0.75,0.578125,237.513586,0.75,0.59375,186.9926267,0.734375,0.578125,207.2421634,597
0.578125,0.578125,168.3949925,0.5625,0.59375,169.8931757,0.5625,0.5625,210.0411277,283
0.546875,0.515625,141.8980738,0.53125,0.5,135.2844133,0.53125,0.53125,132.1679638,420
0.515625,0.515625,146.8398162,0.53125,0.5,135.2844133,0.5,0.5,144.138082,30
0.53125,0.46875,135.5431548,0.5625,0.4375,126.9482275,0.5625,0.5,126.4307447,259
0.71875,0.6875,255.7188444,0.71875,0.65625,211.4039216,0.75,0.6875,256.7718716,12
0.875,0.25,55.19301146,0.875,0.125,0.782893114,1,0.25,131.5331031,1
0.875,0.25,55.19301146,0.75,0.25,-21.14708022,0.875,0.125,0.782893114,0
1,0.125,77.1229848,0.875,0.125,0.782893114,1,0.25,131.5331031,0
1,0.125,77.1229848,1,0,22.71286645,0.875,0.125,0.782893114,0
0.875,0,12.16267595,0.875,0.125,0.782893114,1,0,22.71286645,0
0.875,0,12.16267595,0.75,0,1.612485443,0.875,0.125,0.782893114,0
0.75,0.125,-9.767297391,0.875,0.125,0.782893114,0.75,0,1.612485443,0
0.75,0.125,-9.767297391,0.75,0.25,-21.14708022,0.875,0.125,0.782893114,0
0.8125,0.5,122.2342577,0.8125,0.4375,95.71080691,0.875,0.5,99.12841615,2
0.75,0.375,109.8327565,0.75,0.25,-21.14708022,0.875,0.375,46.08151452,7
0.875,0.25,55.19301146,0.875,0.375,46.08151452,1,0.25,131.5331031,1
0.734375,0.578125,207.2421634,0.71875,0.5625,204.0714285,0.71875,0.59375,221.9705002,244
0.703125,0.578125,193.6529865,0.71875,0.5625,204.0714285,0.6875,0.5625,215.6290304,34
0.703125,0.578125,193.6529865,0.71875,0.59375,221.9705002,0.71875,0.5625,204.0714285,482
0.921875,0.578125,257.451158,0.9375,0.59375,246.1027991,0.90625,0.59375,241.2829983,4
0.921875,0.578125,257.451158,0.9375,0.5625,273.6193177,0.9375,0.59375,246.1027991,20
0.921875,0.578125,257.451158,0.90625,0.5625,182.9057028,0.90625,0.59375,241.2829983,31
0.921875,0.578125,257.451158,0.9375,0.5625,273.6193177,0.90625,0.5625,182.9057028,3
0.9375,0.5,169.740878,0.9375,0.4375,143.2174272,1,0.5,240.3533398,1
0.9375,0.5,169.740878,0.875,0.5,99.12841615,0.9375,0.4375,143.2174272,3
0.90625,0.53125,186.3738669,0.9375,0.5,169.740878,0.9375,0.5625,273.6193177,31
0.90625,0.53125,186.3738669,0.875,0.5,99.12841615,0.9375,0.5,169.740878,11
0.90625,0.5625,182.9057028,0.90625,0.53125,186.3738669,0.875,0.5625,170.5544856,19
0.90625,0.5625,182.9057028,0.9375,0.5625,273.6193177,0.90625,0.53125,186.3738669,10
0.859375,0.65625,250.3735035,0.859375,0.640625,251.339301,0.875,0.65625,240.0489601,9
0.859375,0.65625,250.3735035,0.84375,0.65625,260.6980469,0.859375,0.640625,251.339301,9
0.875,0.640625,241.0147576,0.859375,0.640625,251.339301,0.875,0.65625,240.0489601,4
0.875,0.640625,241.0147576,0.875,0.625,241.980555,0.859375,0.640625,251.339301,0
0.5,0.59375,64.96188231,0.46875,0.59375,74.09921394,0.5,0.625,38.56981575,0
0.5,0.59375,64.96188231,0.5,0.5625,91.35394886,0.46875,0.59375,74.09921394,5
0.46875,0.5625,100.4912805,0.46875,0.59375,74.09921394,0.5,0.5625,91.35394886,6
0.46875,0.5625,100.4912805,0.4375,0.5625,109.6286121,0.46875,0.59375,74.09921394,4
0.890625,0.8125,350.9927296,0.890625,0.828125,357.0776055,0.875,0.8125,343.3891359,2
0.890625,0.8125,350.9927296,0.90625,0.8125,358.5963233,0.890625,0.828125,357.0776055,1
0.734375,0.578125,207.2421634,0.75,0.5625,192.5138266,0.71875,0.5625,204.0714285,29
0.75,0.640625,245.7559212,0.734375,0.640625,229.7538057,0.75,0.625,248.1036899,8
0.75,0.640625,245.7559212,0.75,0.65625,243.4081525,0.734375,0.640625,229.7538057,202
0.03125,0.53125,-450.4627557,0.0625,0.5,-351.6450451,0.0625,0.5625,-327.1225216,191
0.671875,0.546875,196.1941477,0.6875,0.53125,188.5782114,0.6875,0.5625,215.6290304,6
0.671875,0.546875,196.1941477,0.65625,0.53125,176.7592649,0.6875,0.53125,188.5782114,11
0.703125,0.515625,155.7794963,0.6875,0.53125,188.5782114,0.71875,0.53125,191.8400827,8
0.703125,0.515625,155.7794963,0.6875,0.5,161.5273925,0.6875,0.53125,188.5782114,317
0.671875,0.5625,199.2303533,0.671875,0.546875,196.1941477,0.65625,0.5625,182.8316761,1
0.671875,0.5625,199.2303533,0.6875,0.5625,215.6290304,0.671875,0.546875,196.1941477,2
0.5625,0.4375,126.9482275,0.625,0.375,109.7583731,0.5,0.375,108.8333101,50
0.5,0.4375,126.485696,0.5625,0.4375,126.9482275,0.5,0.375,108.8333101,498
0.625,0.25,-98.15146927,0.625,0.375,109.7583731,0.5,0.25,78.79077773,12
0.625,0.25,-98.15146927,0.75,0.25,-21.14708022,0.625,0.375,109.7583731,1
0.03125,0.59375,-386.3085746,0.0625,0.625,-185.3716647,0.0625,0.5625,-327.1225216,843
0.03125,0.59375,-386.3085746,0,0.625,-216.5340443,0.0625,0.625,-185.3716647,670
0.0625,0.625,-185.3716647,0.125,0.625,-80.44205337,0.0625,0.5625,-327.1225216,756
0.984375,0.921875,503.9000139,1,0.90625,524.4292542,0.96875,0.90625,504.4281967,1
0.984375,0.921875,503.9000139,1,0.9375,647.5886328,1,0.90625,524.4292542,40
0.4375,0.5,140.4727443,0.4375,0.5625,109.6286121,0.375,0.5,136.8074066,15
0.4375,0.625,56.84447901,0.375,0.625,75.11914226,0.4375,0.5625,109.6286121,1
0.46875,0.59375,74.09921394,0.4375,0.625,56.84447901,0.4375,0.5625,109.6286121,0
0.46875,0.59375,74.09921394,0.5,0.625,38.56981575,0.4375,0.625,56.84447901,0
0.796875,0.734375,298.1992884,0.78125,0.75,277.6179935,0.78125,0.71875,276.0052216,52
0.0625,0.875,26.19513233,0.125,0.875,-167.3482834,0.0625,0.9375,-44.64806392,21
0.65625,0.5,149.708446,0.65625,0.53125,176.7592649,0.6875,0.5,161.5273925,75
0.625,0.53125,160.5594093,0.625,0.5625,183.2293192,0.65625,0.53125,176.7592649,9
0.65625,0.5625,182.8316761,0.65625,0.53125,176.7592649,0.625,0.5625,183.2293192,8
0.671875,0.546875,196.1941477,0.65625,0.53125,176.7592649,0.65625,0.5625,182.8316761,13
0.671875,0.703125,257.2045524,0.65625,0.6875,216.2090405,0.6875,0.6875,254.6658171,7
0.671875,0.703125,257.2045524,0.65625,0.71875,259.7432876,0.65625,0.6875,216.2090405,14
0.671875,0.671875,236.2851508,0.65625,0.6875,216.2090405,0.65625,0.65625,217.9044845,3
0.671875,0.671875,236.2851508,0.6875,0.6875,254.6658171,0.65625,0.6875,216.2090405,2
0.578125,0.671875,224.5729032,0.59375,0.6875,213.158674,0.59375,0.65625,200.5807223,17
0.578125,0.671875,224.5729032,0.5625,0.6875,248.5650842,0.59375,0.6875,213.158674,21
