mode,seed,deviance,x2,heldout_pools,runtime,vertices,free_vertices,admitted,faces,max_depth
baseline_q10,1,6.664,0.1564,60242,36.4,563,254,188,1036,11
baseline_q10,2,6.213,0.1397,60213,11.1,586,263,196,1084,10
baseline_q10,3,6.732,0.1566,60286,52.4,678,314,244,1272,11
baseline_q10,4,6.552,0.1548,60290,13.8,413,214,145,745,10
baseline_q10,5,6.648,0.1551,60282,46.9,736,297,229,1383,10
baseline_q10,6,6.805,0.1669,60331,45.0,564,266,200,1045,10
baseline_q10,7,6.461,0.1445,60345,20.6,514,250,183,946,10
baseline_q10,8,7.011,0.1589,60287,14.5,480,243,172,874,9
baseline_q10,9,6.603,0.1482,60296,11.5,435,220,152,783,10
baseline_q10,10,6.141,0.1394,60259,7.7,468,236,168,854,10
perm_bh_k4_q15,1,7.558,0.1929,60242,10.2,436,188,122,827,6
perm_bh_k4_q15,2,6.565,0.1474,60213,11.6,534,221,154,1009,8
perm_bh_k4_q15,3,7.303,0.1689,60286,8.0,479,209,139,911,7
perm_bh_k4_q15,4,6.931,0.1637,60290,15.5,456,204,135,865,6
perm_bh_k4_q15,5,7.327,0.1804,60282,17.6,480,207,139,909,7
perm_bh_k4_q15,6,7.079,0.1609,60331,11.1,496,212,146,944,6
perm_bh_k4_q15,7,7.132,0.1679,60345,17.4,459,204,137,870,6
perm_bh_k4_q15,8,7.611,0.1825,60287,14.6,489,215,144,923,7
perm_bh_k4_q15,9,7.373,0.1751,60296,9.8,463,206,138,879,6
perm_bh_k4_q15,10,6.566,0.1546,60259,30.4,603,245,177,1135,9
