dimension,band,seeds,pools_mean,mean_dev_diff,total_dev_diff_mean
WAC,"[1.8, 3.0)",10,3142.8,-0.0800411586093139,-251.92986872222227
WAC,"[3.0, 4.0)",10,11455.3,-0.0817712756580751,-935.0839978053287
WAC,"[4.0, 5.0)",10,12769.4,0.0266196814796437,340.4089111649715
WAC,"[5.0, 6.0)",10,8120.8,1.9635658222850505,15943.59791248298
WAC,"[6.0, 7.0)",10,15709.7,0.8918813033824374,14010.251490680404
WAC,"[7.0, 8.0)",10,8136.2,0.3582780750325853,2915.0562883752077
WAC,"[8.0, 9.1)",10,948.9,1.9269619011419328,1828.375582434855
WALA,"[0, 30)",10,7731.7,3.910137693273133,30227.60419599971
WALA,"[120, 180)",10,8004.3,-0.1222016403055196,-977.90662844018
WALA,"[180, 240)",10,10151.8,0.0237617097897323,241.2131365196786
WALA,"[240, 300)",10,8453.4,0.1001713952956542,846.8969071072058
WALA,"[30, 60)",10,6879.7,0.2089379815912858,1434.3868346910951
WALA,"[300, 360)",10,5355.3,0.3681793892044342,1970.7263279826248
WALA,"[60, 90)",10,8033.3,-0.0023675069594723,-19.003024516012825
WALA,"[90, 120)",10,5673.6,0.0224876953911802,126.758569266752
