seed,base_dev,sc_dev,outer2_dev,base_nll,sc_nll,outer2_nll
101,1.1020,1.1190,1.0870,0.9168,0.9256,0.9170
102,1.1150,1.1110,1.0950,0.9213,0.9210,0.9151
103,1.1980,1.2420,1.2050,0.9366,0.9570,0.9403
104,1.1360,1.1660,1.1630,0.9216,0.9346,0.9320
105,1.1900,1.2090,1.1640,0.9282,0.9406,0.9252
106,1.1970,1.1600,1.1540,0.9296,0.9287,0.9223
107,1.1240,1.1790,1.1640,0.9203,0.9360,0.9312
108,1.1210,1.1180,1.0960,0.9178,0.9236,0.9137
109,1.1330,1.1600,1.1420,0.9223,0.9237,0.9197
110,1.1950,1.2750,1.2840,0.9381,0.9596,0.9620
