seed,off_dev,eb_dev,sc_dev,off_nll,eb_nll,sc_nll
7,1.1890,1.1840,1.2230,0.9242,0.9244,0.9430
101,1.1020,1.1010,1.1190,0.9168,0.9159,0.9256
102,1.1150,1.1080,1.1110,0.9213,0.9199,0.9210
103,1.1980,1.1900,1.2420,0.9366,0.9372,0.9570
104,1.1360,1.1300,1.1660,0.9216,0.9214,0.9346
105,1.1900,1.1790,1.2090,0.9282,0.9257,0.9406
106,1.1970,1.1930,1.1600,0.9296,0.9300,0.9287
107,1.1240,1.1320,1.1790,0.9203,0.9226,0.9360
108,1.1210,1.1120,1.1180,0.9178,0.9168,0.9236
109,1.1330,1.1300,1.1600,0.9223,0.9207,0.9237
110,1.1950,1.1930,1.2750,0.9381,0.9368,0.9596
