id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
3484,0,0,-419.6747853,-419.6747853,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3485,0,1,75.54322118,75.54322118,0,-1,-1,1,0,1,0,0,0,4.461722315e+14,0,1e+300,0,0,0,2,0,2.24128695e-15,0,0.00224128695
3486,1,0,43.84899965,43.84899965,0,-1,-1,1,0,1,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
3487,1,1,0,129.1407956,0,-1,-1,1,0,1,0,0,0,561.3433005,0,1e+300,0,0,0,38,21,0.001781441052,0.001781441049,1.636132039
3488,0.5,0.5,138.0076241,138.0076241,1,3484,3487,1,0,1,0,0,1,0.2703978594,347.7534827,0.2829539181,4.368255788e-05,0,0,6640,6640,3.698254129,3.698254129,45.28935566
3489,0,0.5,-505.6800863,-505.6800863,1,3485,3484,1,0,1,0,0,0,1.737002494,-451.8959463,1010.404684,4.368255788e-05,0,0,3176,3176,0.5757044123,0.5757044123,3.880262618
3490,0.5,1,178.2820776,178.2820776,1,3487,3485,1,0,1,0,0,0,137452.2676,202.0160472,69.99660943,0.0001,0,0,1,1,7.275252839e-06,7.275252839e-06,0.02658960352
3491,0.5,0,-16.88490967,-16.88490967,1,3486,3484,1,0,1,0,0,0,210.332814,176.2632783,208.4178963,4.368255788e-05,0,0,23,23,0.004754369901,0.004754369901,0.9646056009
3492,1,0.5,370.8283951,370.8283951,1,3487,3486,1,0,1,0,0,0,589.9677814,300.9396287,4503.376465,7.798083064e-06,0,0,149,149,0.001695007815,0.001695007815,6.33481275
3493,0.25,0.25,5.863112349,5.863112349,2,3484,3488,1,0,1,0,0,1,0.08850612295,146.6793275,0.1025826433,4.368255788e-05,0,0,15075,15075,11.29865332,11.29865332,32.40506591
3494,0.25,0.75,-128.3782954,-128.3782954,2,3488,3485,1,0,1,0,0,1,5139.987311,0,0,0,0,0,12,12,0.0001945530095,0.0001945530095,0.1025652132
3495,0.75,0.75,283.2876014,283.2876014,2,3488,3487,1,0,1,0,0,1,2.275532916,216.324503,2.73083175,4.368255788e-05,0,0,5875,5875,0.4394574971,0.4394574971,33.42907889
3496,0.75,0.25,-22.71235501,-22.71235501,2,3488,3486,1,0,1,0,0,1,1194.720517,-99.99007041,1135.46249,4.368255788e-05,0,0,12,12,0.0008370158423,0.0008370158423,1.5004042
3497,0,0.75,-201.3062903,-201.3062903,2,3485,3489,1,0,1,0,0,0,0.742906093,301.9528987,908.7525891,7.466972941e-06,0,0,5727,5727,1.346065148,1.346065148,10.50850406
3498,0.25,0.5,28.02284705,28.02284705,2,3489,3488,1,0,1,0,0,0,0.3621217625,211.8388364,1.565441772,4.368255788e-05,0,0,4479,4479,2.761502079,2.761502079,25.65008429
3499,0,0.25,-895.3292301,-895.3292301,2,3489,3484,1,0,1,0,0,0,355.2665464,350.0701004,52.6553241,0.0001,0,0,40,40,0.002814787967,0.002814787967,0.2118159131
3500,0.5,0.25,78.70292626,78.70292626,2,3491,3488,1,0,1,0,0,0,0.1849436301,18.24790413,0.1849421359,4.368255788e-05,0,0,5907,5907,5.407052946,5.407052946,19.08426351
3501,0.25,0,-100.9578922,-100.9578922,2,3491,3484,1,0,1,0,0,0,1.499293208,118.2701983,1.499195021,4.368255788e-05,0,0,486,486,0.6669809447,0.6669809447,1.180808835
3502,0.75,0,13.48204499,13.48204499,2,3486,3491,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
3503,0.75,1,455.0104894,455.0104894,2,3487,3490,1,0,1,0,0,0,251.6803194,318.695041,4866.4236,4.368255788e-05,0,0,356,356,0.003973294385,0.003973294385,0.5346794231
3504,0.5,0.75,197.2407691,197.2407691,2,3490,3488,1,0,1,0,0,0,10.40597194,43.96456691,10.42162556,4.368255788e-05,0,0,1834,1834,0.09609866386,0.09609866386,2.015611339
3505,0.25,1,126.9126494,126.9126494,2,3490,3485,1,0,0,0,1,0,1e+300,0,0,0,0,0,0,0,0,0,0
