x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.017578125,0.595703125,-375.760096,0.015625,0.59765625,-359.3024342,0.01953125,0.59765625,-405.7838179,7
0.017578125,0.595703125,-375.760096,0.015625,0.59375,-345.7363742,0.015625,0.59765625,-359.3024342,10
0.01953125,0.56640625,-512.0409859,0.015625,0.5625,-426.0619945,0.0234375,0.5625,-431.9392027,2
0.00390625,0.59375,-215.5269295,0.0078125,0.59375,-397.1990109,0.00390625,0.59765625,-306.4816849,13
0,0.59765625,18.77980579,0.00390625,0.59765625,-306.4816849,0,0.6015625,5.60006409,17
0.009765625,0.595703125,-324.5519364,0.0078125,0.59765625,-358.6761629,0.01171875,0.59765625,-382.0577606,9
0.009765625,0.595703125,-324.5519364,0.0078125,0.59375,-397.1990109,0.0078125,0.59765625,-358.6761629,25
0.0234375,0.5625,-431.9392027,0.0234375,0.5546875,-528.7639616,0.015625,0.5625,-426.0619945,2
0.0234375,0.5625,-431.9392027,0.03125,0.5625,-437.8164109,0.0234375,0.5546875,-528.7639616,1
0.046875,0.546875,-375.3722217,0.0625,0.53125,-314.3234014,0.0625,0.5625,-309.0859615,23
0.046875,0.546875,-375.3722217,0.03125,0.53125,-441.658482,0.0625,0.53125,-314.3234014,108
0.03125,0.546875,-439.7374464,0.046875,0.546875,-375.3722217,0.03125,0.5625,-437.8164109,6
0.03125,0.546875,-439.7374464,0.03125,0.53125,-441.658482,0.046875,0.546875,-375.3722217,21
0.0234375,0.5546875,-528.7639616,0.03125,0.546875,-439.7374464,0.015625,0.546875,-619.7115122,6
0.0234375,0.5546875,-528.7639616,0.03125,0.5625,-437.8164109,0.03125,0.546875,-439.7374464,5
0.0078125,0.5625,-608.3936336,0.0078125,0.5546875,-517.0095452,0,0.5625,-414.3075781,11
0.0078125,0.5625,-608.3936336,0.015625,0.5625,-426.0619945,0.0078125,0.5546875,-517.0095452,6
0.00390625,0.56640625,-437.801753,0.0078125,0.5625,-608.3936336,0.0078125,0.5703125,-461.2959279,10
0.00390625,0.56640625,-437.801753,0,0.5625,-414.3075781,0.0078125,0.5625,-608.3936336,23
0.375,0.75,121.6023579,0.25,0.75,-128.3782954,0.375,0.625,67.97362049,0
0.3125,0.5625,47.99823377,0.25,0.625,47.3038681,0.375,0.625,67.97362049,5
0.25,0.875,-0.7328229907,0.375,0.875,24.95189111,0.25,1,126.9126494,0
0.25,0.875,-0.7328229907,0.25,0.75,-128.3782954,0.375,0.875,24.95189111,0
0.9375,0.4375,173.9880416,0.875,0.5,-37.18693513,0.875,0.375,-22.85231196,8
0.8125,0.4375,70.81640289,0.875,0.5,-37.18693513,0.875,0.375,-22.85231196,0
0.9375,0.8125,369.2655954,0.875,0.75,329.7253591,0.875,0.875,363.8023294,1170
0.9375,0.6875,301.680544,0.875,0.75,329.7253591,0.875,0.625,228.6322266,815
0.9375,0.6875,301.680544,1,0.75,374.7288614,0.875,0.75,329.7253591,1787
0.9765625,1,632.8740611,0.9765625,0.9921875,282.104293,0.984375,1,827.1922584,23
0.9765625,1,632.8740611,0.96875,1,413.1397277,0.9765625,0.9921875,282.104293,15
