gx,gy,wala,wac,g_hat,f_true
0.008333333333,0.008333333333,0.5,2.641666667,-409.7635267,-0.8640915728
0.008333333333,0.025,0.5,2.725,-457.4175042,-7.297505575
0.008333333333,0.04166666667,0.5,2.808333333,-505.0714816,-20.99148245
0.008333333333,0.05833333333,0.5,2.891666667,-552.7254591,-39.32938755
0.008333333333,0.075,0.5,2.975,-600.3794366,-59.03741802
0.008333333333,0.09166666667,0.5,3.058333333,-648.0334141,-77.40011661
0.008333333333,0.1083333333,0.5,3.141666667,-695.6873916,-92.82658137
0.008333333333,0.125,0.5,3.225,-743.341369,-104.7546174
0.008333333333,0.1416666667,0.5,3.308333333,-759.1079842,-113.242574
0.008333333333,0.1583333333,0.5,3.391666667,-774.8745994,-118.5668626
0.008333333333,0.175,0.5,3.475,-790.6412145,-120.9571887
0.008333333333,0.1916666667,0.5,3.558333333,-806.4078297,-120.4696915
0.008333333333,0.2083333333,0.5,3.641666667,-822.1744448,-116.9643458
0.008333333333,0.225,0.5,3.725,-837.94106,-110.1773951
0.008333333333,0.2416666667,0.5,3.808333333,-853.7076752,-99.91468771
0.008333333333,0.2583333333,0.5,3.891666667,-847.2342033,-86.39272215
0.008333333333,0.275,0.5,3.975,-884.0533171,-70.67243327
0.008333333333,0.2916666667,0.5,4.058333333,-865.4403332,-54.95602846
0.008333333333,0.3083333333,0.5,4.141666667,-824.6545104,-42.37490881
0.008333333333,0.325,0.5,4.225,-817.127946,-36.05007366
0.008333333333,0.3416666667,0.5,4.308333333,-809.6013817,-37.75623696
0.008333333333,0.3583333333,0.5,4.391666667,-802.0748174,-47.03733289
0.008333333333,0.375,0.5,4.475,-794.5482531,-61.44156142
0.008333333333,0.3916666667,0.5,4.558333333,-835.2938797,-77.69228369
0.008333333333,0.4083333333,0.5,4.641666667,-912.5843007,-92.95073879
0.008333333333,0.425,0.5,4.725,-1006.083884,-105.4734802
0.008333333333,0.4416666667,0.5,4.808333333,-1061.100976,-114.5811994
0.008333333333,0.4583333333,0.5,4.891666667,-909.2287107,-120.2683729
0.008333333333,0.475,0.5,4.975,-694.3927777,-122.7895217
0.008333333333,0.4916666667,0.5,5.058333333,-521.5326232,-122.3762565
0.008333333333,0.5083333333,0.5,5.141666667,-664.8353955,-119.0956993
0.008333333333,0.525,0.5,5.225,-768.7713415,-112.8166181
0.008333333333,0.5416666667,0.5,5.308333333,-655.6436433,-103.2696515
0.008333333333,0.5583333333,0.5,5.391666667,-547.5000105,-90.22412051
0.008333333333,0.575,0.5,5.475,-448.2288147,-73.81160652
0.008333333333,0.5916666667,0.5,5.558333333,-391.598674,-54.95682646
0.008333333333,0.6083333333,0.5,5.641666667,-285.424414,-35.70977599
0.008333333333,0.625,0.5,5.725,-116.1256231,-19.11422478
0.008333333333,0.6416666667,0.5,5.808333333,-205.7406592,-8.352190339
0.008333333333,0.6583333333,0.5,5.891666667,-45.4826986,-5.416992117
0.008333333333,0.675,0.5,5.975,35.77573138,-10.12669002
0.008333333333,0.6916666667,0.5,6.058333333,184.3630154,-20.21430485
0.008333333333,0.7083333333,0.5,6.141666667,174.0717465,-32.42436693
0.008333333333,0.725,0.5,6.225,179.2442234,-43.8120712
0.008333333333,0.7416666667,0.5,6.308333333,150.3275148,-52.49117618
0.008333333333,0.7583333333,0.5,6.391666667,13.67191806,-57.67304086
0.008333333333,0.775,0.5,6.475,219.274573,-59.2993961
0.008333333333,0.7916666667,0.5,6.558333333,270.4672727,-57.61972215
0.008333333333,0.8083333333,0.5,6.641666667,375.4617117,-52.89032989
0.008333333333,0.825,0.5,6.725,369.3222588,-45.21769449
0.008333333333,0.8416666667,0.5,6.808333333,335.9944844,-34.5132853
0.008333333333,0.8583333333,0.5,6.891666667,302.6667101,-20.54208771
0.008333333333,0.875,0.5,6.975,292.5073099,-3.083521217
0.008333333333,0.8916666667,0.5,7.058333333,286.5394539,17.76287081
0.008333333333,0.9083333333,0.5,7.141666667,250.6994477,41.1525246
0.008333333333,0.925,0.5,7.225,214.8594415,65.13426179
0.008333333333,0.9416666667,0.5,7.308333333,179.0194353,86.70593491
0.008333333333,0.9583333333,0.5,7.391666667,143.1794291,102.5827685
0.008333333333,0.975,0.5,7.475,107.3394229,110.5032012
0.008333333333,0.9916666667,0.5,7.558333333,71.49941675,110.3064204
0.025,0.008333333333,1.5,2.641666667,-401.7545836,-9.16747797
0.025,0.025,1.5,2.725,-389.9410095,-11.45467449
0.025,0.04166666667,1.5,2.808333333,-437.594987,-21.62161862
0.025,0.05833333333,1.5,2.891666667,-485.2489644,-37.76279081
0.025,0.075,1.5,2.975,-532.9029419,-56.72171
0.025,0.09166666667,1.5,3.058333333,-580.5569194,-75.42289511
0.025,0.1083333333,1.5,3.141666667,-628.2108969,-91.7608063
0.025,0.125,1.5,3.225,-675.8648744,-104.7624114
0.025,0.1416666667,1.5,3.308333333,-691.6314895,-114.2681662
0.025,0.1583333333,1.5,3.391666667,-707.3981047,-120.4995882
